"postiid","partianame","kohapostimit","nrlike","nrReaction","nrkomenteve","nrshare","koalicionet"
"217235244985441_1711680735540877","aleancakosovaere","2017-10-28 00:36:15","36","36","0","0","LDK-AKR-ALT"
"217235244985441_1712238028818481","aleancakosovaere","2017-10-28 12:46:28","32","32","1","0","LDK-AKR-ALT"
"217235244985441_1712407552134862","aleancakosovaere","2017-10-28 15:52:16","64","66","0","0","LDK-AKR-ALT"
"217235244985441_1715000958542188","aleancakosovaere","2017-10-30 15:14:26","54","54","1","0","LDK-AKR-ALT"
"217235244985441_1715903645118586","aleancakosovaere","2017-10-31 09:32:05","5","5","0","0","LDK-AKR-ALT"
"217235244985441_1715985498443734","aleancakosovaere","2017-10-31 11:21:43","25","25","0","0","LDK-AKR-ALT"
"217235244985441_1716679065041044","aleancakosovaere","2017-10-31 23:41:14","16","16","3","0","LDK-AKR-ALT"
"217235244985441_1717216321653985","aleancakosovaere","2017-11-01 11:59:00","12","12","0","0","LDK-AKR-ALT"
"217235244985441_1717690288273255","aleancakosovaere","2017-11-01 20:34:53","48","49","0","0","LDK-AKR-ALT"
"217235244985441_1717770191598598","aleancakosovaere","2017-11-01 21:56:59","21","21","1","0","LDK-AKR-ALT"
"217235244985441_1718172458225038","aleancakosovaere","2017-11-02 06:58:05","36","36","0","0","LDK-AKR-ALT"
"217235244985441_1718348318207452","aleancakosovaere","2017-11-02 11:24:42","14","14","0","0","LDK-AKR-ALT"
"217235244985441_1718383804870570","aleancakosovaere","2017-11-02 12:13:33","11","11","1","0","LDK-AKR-ALT"
"217235244985441_1719419354767015","aleancakosovaere","2017-11-03 10:33:38","27","27","0","0","LDK-AKR-ALT"
"217235244985441_1719990418043242","aleancakosovaere","2017-11-03 21:07:51","22","22","1","0","LDK-AKR-ALT"
"217235244985441_1721996484509302","aleancakosovaere","2017-11-05 13:36:06","40","40","1","3","LDK-AKR-ALT"
"58483591999_10154657583127000","vetevendosje","2017-09-26 18:30:01","364","381","17","15","VV"
"58483591999_10154657595387000","vetevendosje","2017-09-26 17:50:01","592","604","16","12","VV"
"58483591999_10154657610177000","vetevendosje","2017-09-26 17:16:52","860","1140","450","79","VV"
"58483591999_10154657952012000","vetevendosje","2017-09-26 19:39:31","1298","1332","35","30","VV"
"58483591999_10154659970232000","vetevendosje","2017-09-27 17:14:44","1192","1500","708","66","VV"
"58483591999_10154660184367000","vetevendosje","2017-09-27 18:29:52","378","396","15","8","VV"
"58483591999_10154660376477000","vetevendosje","2017-09-27 19:36:36","771","793","11","23","VV"
"58483591999_10154660385887000","vetevendosje","2017-09-27 21:00:00","889","937","39","91","VV"
"58483591999_10154662313462000","vetevendosje","2017-09-28 17:21:19","1463","1856","958","168","VV"
"58483591999_10154662508412000","vetevendosje","2017-09-28 18:09:45","434","452","18","5","VV"
"58483591999_10154662713202000","vetevendosje","2017-09-28 19:32:44","2359","2405","43","36","VV"
"58483591999_10154665267777000","vetevendosje","2017-09-29 16:17:48","1926","2040","291","13","VV"
"58483591999_10154665566687000","vetevendosje","2017-09-29 18:35:36","310","317","18","11","VV"
"58483591999_10154665640202000","vetevendosje","2017-09-29 19:51:42","1452","1865","969","99","VV"
"58483591999_10154665643892000","vetevendosje","2017-09-29 19:03:02","1238","1273","23","52","VV"
"58483591999_10154666021767000","vetevendosje","2017-09-29 22:04:14","843","870","6","12","VV"
"58483591999_10154666081252000","vetevendosje","2017-09-29 22:45:57","983","1009","47","83","VV"
"58483591999_10154666119402000","vetevendosje","2017-09-29 22:57:47","3559","3673","414","70","VV"
"58483591999_10154667325317000","vetevendosje","2017-09-30 12:14:30","577","676","120","42","VV"
"58483591999_10154667533767000","vetevendosje","2017-09-30 15:16:22","586","619","23","33","VV"
"58483591999_10154667741912000","vetevendosje","2017-09-30 17:20:59","1223","1539","909","60","VV"
"58483591999_10154667909152000","vetevendosje","2017-09-30 18:22:52","240","242","4","4","VV"
"58483591999_10154668111812000","vetevendosje","2017-09-30 20:05:40","1243","1275","45","43","VV"
"58483591999_10154668377522000","vetevendosje","2017-09-30 22:25:25","1010","1032","13","25","VV"
"58483591999_10154669876347000","vetevendosje","2017-10-01 16:30:59","753","772","7","9","VV"
"58483591999_10154669893487000","vetevendosje","2017-10-01 17:14:27","937","1127","411","47","VV"
"58483591999_10154670030152000","vetevendosje","2017-10-01 17:33:49","1602","1863","609","102","VV"
"58483591999_10154670238257000","vetevendosje","2017-10-01 18:45:12","176","183","12","8","VV"
"58483591999_10154670346497000","vetevendosje","2017-10-01 19:42:00","816","828","11","20","VV"
"58483591999_10154670354352000","vetevendosje","2017-10-01 19:52:17","651","672","21","44","VV"
"58483591999_10154671912452000","vetevendosje","2017-10-02 14:44:40","759","783","12","35","VV"
"58483591999_10154672075002000","vetevendosje","2017-10-02 17:05:42","1108","1345","640","74","VV"
"58483591999_10154672081527000","vetevendosje","2017-10-02 18:20:00","344","356","16","9","VV"
"58483591999_10154672442642000","vetevendosje","2017-10-02 21:00:00","1428","1475","75","84","VV"
"58483591999_10154672471982000","vetevendosje","2017-10-02 19:23:04","1430","1475","42","47","VV"
"58483591999_10154673944732000","vetevendosje","2017-10-03 11:50:40","500","575","119","29","VV"
"58483591999_10154674094187000","vetevendosje","2017-10-03 15:00:01","407","418","4","12","VV"
"58483591999_10154674465607000","vetevendosje","2017-10-03 17:50:30","157","163","7","3","VV"
"58483591999_10154674491182000","vetevendosje","2017-10-03 18:15:32","1975","2036","68","50","VV"
"58483591999_10154674909212000","vetevendosje","2017-10-03 21:55:39","1901","1952","125","163","VV"
"58483591999_10154676565262000","vetevendosje","2017-10-04 18:00:00","134","138","5","4","VV"
"58483591999_10154676568777000","vetevendosje","2017-10-04 18:30:00","1372","1412","59","16","VV"
"58483591999_10154676569337000","vetevendosje","2017-10-04 17:10:15","770","889","399","34","VV"
"58483591999_10154676577057000","vetevendosje","2017-10-04 21:00:01","1253","1298","38","26","VV"
"58483591999_10154676870932000","vetevendosje","2017-10-04 19:17:12","730","751","16","25","VV"
"58483591999_10154678473652000","vetevendosje","2017-10-05 13:28:34","481","497","36","10","VV"
"58483591999_10154678768517000","vetevendosje","2017-10-05 18:00:00","215","221","12","10","VV"
"58483591999_10154678890182000","vetevendosje","2017-10-05 17:24:14","588","687","258","61","VV"
"58483591999_10154679024552000","vetevendosje","2017-10-05 21:00:01","667","695","35","60","VV"
"58483591999_10154679216072000","vetevendosje","2017-10-05 19:50:04","404","414","6","19","VV"
"58483591999_10154681146732000","vetevendosje","2017-10-06 18:00:02","179","186","2","4","VV"
"58483591999_10154681157877000","vetevendosje","2017-10-06 17:10:34","661","794","252","44","VV"
"58483591999_10154681158227000","vetevendosje","2017-10-06 16:48:05","387","430","33","28","VV"
"58483591999_10154681448717000","vetevendosje","2017-10-06 18:53:55","522","540","13","13","VV"
"58483591999_10154681752747000","vetevendosje","2017-10-06 21:42:40","711","737","30","65","VV"
"58483591999_10154683206857000","vetevendosje","2017-10-07 14:18:37","893","1229","837","112","VV"
"58483591999_10154683475382000","vetevendosje","2017-10-07 17:13:45","565","661","279","35","VV"
"58483591999_10154683567217000","vetevendosje","2017-10-07 18:00:01","229","235","5","5","VV"
"58483591999_10154683824422000","vetevendosje","2017-10-07 19:29:54","298","308","15","14","VV"
"58483591999_10154684317432000","vetevendosje","2017-10-08 00:32:28","336","345","17","13","VV"
"58483591999_10154685369177000","vetevendosje","2017-10-08 14:21:03","1089","1335","511","88","VV"
"58483591999_10154685724662000","vetevendosje","2017-10-08 17:00:27","560","580","14","17","VV"
"58483591999_10154685796922000","vetevendosje","2017-10-08 21:00:01","1627","1723","48","274","VV"
"58483591999_10154686069612000","vetevendosje","2017-10-08 19:12:56","418","427","17","5","VV"
"58483591999_10154686381417000","vetevendosje","2017-10-09 11:00:00","481","497","14","15","VV"
"58483591999_10154687726782000","vetevendosje","2017-10-09 14:00:56","287","294","15","5","VV"
"58483591999_10154687918177000","vetevendosje","2017-10-09 18:00:00","209","215","12","7","VV"
"58483591999_10154687924057000","vetevendosje","2017-10-09 18:30:00","316","324","8","3","VV"
"58483591999_10154687930762000","vetevendosje","2017-10-09 16:13:29","570","586","17","27","VV"
"58483591999_10154688352807000","vetevendosje","2017-10-09 19:26:50","449","505","178","28","VV"
"58483591999_10154688447517000","vetevendosje","2017-10-10 15:00:00","1032","1080","34","105","VV"
"58483591999_10154688493592000","vetevendosje","2017-10-09 20:41:54","248","257","9","5","VV"
"58483591999_10154690073282000","vetevendosje","2017-10-10 13:26:29","1418","1458","23","19","VV"
"58483591999_10154690236912000","vetevendosje","2017-10-10 15:33:26","259","272","27","2","VV"
"58483591999_10154690408087000","vetevendosje","2017-10-10 17:28:24","734","851","325","63","VV"
"58483591999_10154690577647000","vetevendosje","2017-10-10 18:38:27","299","307","15","5","VV"
"58483591999_10154690666967000","vetevendosje","2017-10-10 19:19:18","347","351","6","11","VV"
"58483591999_10154690781177000","vetevendosje","2017-10-10 21:15:58","224","224","9","6","VV"
"58483591999_10154692359892000","vetevendosje","2017-10-11 16:20:11","475","548","204","45","VV"
"58483591999_10154692388532000","vetevendosje","2017-10-11 16:08:57","172","179","1","4","VV"
"58483591999_10154692481912000","vetevendosje","2017-10-11 19:30:00","1093","1121","66","99","VV"
"58483591999_10154692693247000","vetevendosje","2017-10-11 18:46:23","167","173","13","3","VV"
"58483591999_10154692711342000","vetevendosje","2017-10-11 21:20:01","320","329","10","5","VV"
"58483591999_10154692755237000","vetevendosje","2017-10-11 19:09:15","287","295","13","7","VV"
"58483591999_10154692993682000","vetevendosje","2017-10-11 21:12:54","441","455","9","28","VV"
"58483591999_10154693049527000","vetevendosje","2017-10-11 21:49:48","353","366","12","30","VV"
"58483591999_10154693086537000","vetevendosje","2017-10-11 22:05:18","249","256","15","16","VV"
"58483591999_10154693349027000","vetevendosje","2017-10-12 11:58:01","102","104","7","3","VV"
"58483591999_10154694094372000","vetevendosje","2017-10-12 10:41:27","901","920","31","73","VV"
"58483591999_10154694480322000","vetevendosje","2017-10-12 16:31:54","489","565","165","38","VV"
"58483591999_10154694492812000","vetevendosje","2017-10-12 16:13:22","148","153","8","7","VV"
"58483591999_10154694683752000","vetevendosje","2017-10-12 18:04:42","351","360","11","27","VV"
"58483591999_10154694773867000","vetevendosje","2017-10-12 18:42:35","173","176","11","8","VV"
"58483591999_10154694841637000","vetevendosje","2017-10-12 19:26:23","149","153","0","4","VV"
"58483591999_10154696262882000","vetevendosje","2017-10-13 10:44:28","5413","5670","214","540","VV"
"58483591999_10154696708257000","vetevendosje","2017-10-13 15:21:34","773","795","26","55","VV"
"58483591999_10154696749007000","vetevendosje","2017-10-13 15:43:07","111","115","4","2","VV"
"58483591999_10154696772667000","vetevendosje","2017-10-13 15:52:46","628","649","33","23","VV"
"58483591999_10154696813782000","vetevendosje","2017-10-13 17:00:22","477","538","190","66","VV"
"58483591999_10154696946817000","vetevendosje","2017-10-13 17:45:33","198","203","13","6","VV"
"58483591999_10154696951377000","vetevendosje","2017-10-13 21:00:24","227","230","7","4","VV"
"58483591999_10154697196657000","vetevendosje","2017-10-13 19:36:48","176","178","8","19","VV"
"58483591999_10154697371842000","vetevendosje","2017-10-13 21:26:08","326","338","8","14","VV"
"58483591999_10154698624167000","vetevendosje","2017-10-14 12:26:51","567","638","180","21","VV"
"58483591999_10154698748362000","vetevendosje","2017-10-14 16:00:01","568","591","28","71","VV"
"58483591999_10154698751432000","vetevendosje","2017-10-14 14:21:31","1855","2296","1398","166","VV"
"58483591999_10154698798652000","vetevendosje","2017-10-14 15:00:00","253","255","12","3","VV"
"58483591999_10154699064282000","vetevendosje","2017-10-14 16:13:02","214","223","7","15","VV"
"58483591999_10154699129402000","vetevendosje","2017-10-14 18:30:01","424","434","12","10","VV"
"58483591999_10154699174912000","vetevendosje","2017-10-14 17:23:41","659","762","431","47","VV"
"58483591999_10154699605777000","vetevendosje","2017-10-14 20:30:09","717","743","19","21","VV"
"58483591999_10154699733807000","vetevendosje","2017-10-14 21:38:24","377","389","5","20","VV"
"58483591999_10154701002092000","vetevendosje","2017-10-15 12:35:27","1051","1254","676","69","VV"
"58483591999_10154701004787000","vetevendosje","2017-10-15 12:34:08","115","117","2","6","VV"
"58483591999_10154701281427000","vetevendosje","2017-10-15 15:56:07","458","468","33","42","VV"
"58483591999_10154701419622000","vetevendosje","2017-10-15 17:09:24","288","299","4","5","VV"
"58483591999_10154701572332000","vetevendosje","2017-10-15 18:22:04","440","457","25","12","VV"
"58483591999_10154701622267000","vetevendosje","2017-10-15 18:41:11","588","604","12","26","VV"
"58483591999_10154701626362000","vetevendosje","2017-10-15 19:34:32","1918","2328","1020","182","VV"
"58483591999_10154702110047000","vetevendosje","2017-10-15 22:11:24","556","587","15","19","VV"
"58483591999_10154703264022000","vetevendosje","2017-10-16 11:16:04","487","505","20","65","VV"
"58483591999_10154703275352000","vetevendosje","2017-10-16 11:45:58","188","194","17","4","VV"
"58483591999_10154703561777000","vetevendosje","2017-10-16 15:12:32","790","944","374","53","VV"
"58483591999_10154703572637000","vetevendosje","2017-10-16 15:17:34","209","215","5","5","VV"
"58483591999_10154703766547000","vetevendosje","2017-10-16 17:07:11","993","1180","452","50","VV"
"58483591999_10154703875422000","vetevendosje","2017-10-16 17:59:12","309","321","13","19","VV"
"58483591999_10154704032612000","vetevendosje","2017-10-16 19:44:39","1610","2087","1778","167","VV"
"58483591999_10154704176187000","vetevendosje","2017-10-16 20:16:06","795","824","31","34","VV"
"58483591999_10154704532507000","vetevendosje","2017-10-16 22:04:01","406","458","33","50","VV"
"58483591999_10154704575917000","vetevendosje","2017-10-16 22:32:16","360","368","13","12","VV"
"58483591999_10154704609537000","vetevendosje","2017-10-16 22:55:32","1149","1184","35","35","VV"
"58483591999_10154705118402000","vetevendosje","2017-10-17 11:59:50","126","127","10","2","VV"
"58483591999_10154705845832000","vetevendosje","2017-10-17 14:18:15","1317","1352","53","77","VV"
"58483591999_10154705901572000","vetevendosje","2017-10-17 15:02:05","151","155","7","3","VV"
"58483591999_10154705936962000","vetevendosje","2017-10-17 15:31:54","767","941","296","57","VV"
"58483591999_10154706140022000","vetevendosje","2017-10-17 17:19:38","1865","2300","1382","202","VV"
"58483591999_10154706357327000","vetevendosje","2017-10-17 18:28:43","366","376","17","9","VV"
"58483591999_10154706380547000","vetevendosje","2017-10-17 18:47:53","752","782","46","151","VV"
"58483591999_10154706681627000","vetevendosje","2017-10-17 21:21:35","519","538","18","21","VV"
"58483591999_10154706716232000","vetevendosje","2017-10-17 21:45:36","459","469","13","13","VV"
"58483591999_10154707956852000","vetevendosje","2017-10-18 11:22:45","444","460","22","33","VV"
"58483591999_10154708192722000","vetevendosje","2017-10-18 14:38:26","601","615","12","56","VV"
"58483591999_10154708271367000","vetevendosje","2017-10-18 15:04:41","658","851","292","69","VV"
"58483591999_10154708472247000","vetevendosje","2017-10-18 16:42:05","202","204","5","2","VV"
"58483591999_10154708512257000","vetevendosje","2017-10-18 17:18:23","1584","2038","924","126","VV"
"58483591999_10154708869022000","vetevendosje","2017-10-18 19:01:10","634","660","14","11","VV"
"58483591999_10154708984522000","vetevendosje","2017-10-18 19:56:52","1223","1505","704","71","VV"
"58483591999_10154708997247000","vetevendosje","2017-10-18 21:00:01","899","936","28","67","VV"
"58483591999_10154709167507000","vetevendosje","2017-10-18 21:23:14","741","765","16","42","VV"
"58483591999_10154709374762000","vetevendosje","2017-10-18 23:15:12","903","949","47","37","VV"
"58483591999_10154710476202000","vetevendosje","2017-10-19 11:21:18","306","315","9","8","VV"
"58483591999_10154710541177000","vetevendosje","2017-10-19 12:23:44","730","863","241","49","VV"
"58483591999_10154710793197000","vetevendosje","2017-10-19 15:25:41","488","497","18","24","VV"
"58483591999_10154710975042000","vetevendosje","2017-10-19 17:22:54","2359","3017","2249","237","VV"
"58483591999_10154711421792000","vetevendosje","2017-10-19 19:18:42","157","163","3","1","VV"
"58483591999_10154711467282000","vetevendosje","2017-10-19 19:44:30","991","1028","26","26","VV"
"58483591999_10154711536502000","vetevendosje","2017-10-19 20:14:05","1336","1594","746","109","VV"
"58483591999_10154711872182000","vetevendosje","2017-10-19 22:52:09","521","541","15","47","VV"
"58483591999_10154712971612000","vetevendosje","2017-10-20 12:17:23","1001","1060","43","51","VV"
"58483591999_10154713141562000","vetevendosje","2017-10-20 14:19:59","761","920","420","55","VV"
"58483591999_10154713400242000","vetevendosje","2017-10-20 16:20:04","162","167","17","1","VV"
"58483591999_10154713411602000","vetevendosje","2017-10-20 16:31:46","595","615","17","15","VV"
"58483591999_10154713440947000","vetevendosje","2017-10-20 22:30:01","1524","1571","34","20","VV"
"58483591999_10154713441887000","vetevendosje","2017-10-20 17:30:02","526","542","20","41","VV"
"58483591999_10154713671072000","vetevendosje","2017-10-20 19:33:38","3515","5477","4539","833","VV"
"58483591999_10154714138877000","vetevendosje","2017-10-20 22:15:09","2481","2632","79","127","VV"
"58483591999_10154717364897000","vetevendosje","2017-10-22 09:09:54","3827","4713","1647","127","VV"
"58483591999_10154717445282000","vetevendosje","2017-10-22 10:05:34","1126","1465","607","37","VV"
"58483591999_10154717580847000","vetevendosje","2017-10-22 11:21:25","612","719","308","12","VV"
"58483591999_10154717680462000","vetevendosje","2017-10-22 12:35:37","634","743","325","16","VV"
"58483591999_10154718582722000","vetevendosje","2017-10-22 21:11:16","1257","1626","570","23","VV"
"58483591999_10154720783122000","vetevendosje","2017-10-23 19:50:23","910","922","21","6","VV"
"58483591999_10154722624632000","vetevendosje","2017-10-24 16:42:42","205","206","4","1","VV"
"58483591999_10154722633262000","vetevendosje","2017-10-24 19:30:27","235","240","1","2","VV"
"58483591999_10154724945272000","vetevendosje","2017-10-25 18:23:32","950","968","41","18","VV"
"58483591999_10154725065277000","vetevendosje","2017-10-25 20:00:02","451","461","18","6","VV"
"58483591999_10154725480807000","vetevendosje","2017-10-25 23:07:31","507","518","15","7","VV"
"58483591999_10154726911907000","vetevendosje","2017-10-26 17:38:27","662","679","8","8","VV"
"58483591999_10154733232557000","vetevendosje","2017-10-29 13:05:54","562","664","305","35","VV"
"58483591999_10154733432877000","vetevendosje","2017-10-29 15:24:09","882","1012","340","72","VV"
"58483591999_10154737676247000","vetevendosje","2017-10-31 12:24:48","245","251","23","56","VV"
"58483591999_10154740827467000","vetevendosje","2017-11-01 17:32:49","347","351","5","13","VV"
"58483591999_10154741158282000","vetevendosje","2017-11-01 20:27:32","296","299","15","3","VV"
"58483591999_10154741212172000","vetevendosje","2017-11-01 21:00:33","765","790","30","15","VV"
"58483591999_10154743024887000","vetevendosje","2017-11-02 21:01:00","605","619","19","8","VV"
"58483591999_10154743067462000","vetevendosje","2017-11-02 18:00:59","621","640","13","12","VV"
"58483591999_10154743445987000","vetevendosje","2017-11-02 19:43:59","775","815","17","90","VV"
"58483591999_10154747416487000","vetevendosje","2017-11-04 14:04:55","653","928","226","107","VV"
"58483591999_10154747928012000","vetevendosje","2017-11-04 19:00:01","971","1101","51","197","VV"
"58483591999_10154749593102000","vetevendosje","2017-11-05 12:21:02","699","946","204","43","VV"
"58483591999_10154749826262000","vetevendosje","2017-11-05 15:14:23","999","1201","247","97","VV"
"58483591999_10154750334537000","vetevendosje","2017-11-05 19:11:33","1000","1174","17","42","VV"
"58483591999_10154750409912000","vetevendosje","2017-11-05 19:38:28","953","1016","7","29","VV"
"58483591999_130207050975271","vetevendosje","2017-11-03 19:27:07","786","879","25","0","VV"
"58483591999_2067520143482742","vetevendosje","2017-10-19 21:06:49","635","660","16","0","VV"
"590118427700874_1517959308250110","PDKqender","2017-09-26 10:54:06","226","226","0","0","PDK-AAK-NISMA"
"590118427700874_1518059698240071","PDKqender","2017-09-26 13:21:23","142","142","3","0","PDK-AAK-NISMA"
"590118427700874_1518188634893844","PDKqender","2017-09-26 16:38:53","363","363","2","1","PDK-AAK-NISMA"
"590118427700874_1518310898214951","PDKqender","2017-09-26 19:48:38","218","218","1","0","PDK-AAK-NISMA"
"590118427700874_1518896461489728","PDKqender","2017-09-27 14:20:52","325","326","1","3","PDK-AAK-NISMA"
"590118427700874_1518912404821467","PDKqender","2017-09-27 14:46:35","383","386","1","4","PDK-AAK-NISMA"
"590118427700874_1519064461472928","PDKqender","2017-09-27 18:14:29","224","224","3","0","PDK-AAK-NISMA"
"590118427700874_1519163008129740","PDKqender","2017-09-27 21:08:24","429","430","2","2","PDK-AAK-NISMA"
"590118427700874_1520346521344722","PDKqender","2017-09-29 10:04:54","311","311","0","3","PDK-AAK-NISMA"
"590118427700874_1520348131344561","PDKqender","2017-09-29 10:08:20","382","382","0","2","PDK-AAK-NISMA"
"590118427700874_1520479431331431","PDKqender","2017-09-29 14:24:58","233","234","0","4","PDK-AAK-NISMA"
"590118427700874_1520590494653658","PDKqender","2017-09-29 17:08:08","226","227","1","0","PDK-AAK-NISMA"
"590118427700874_1521555531223821","PDKqender","2017-09-30 19:32:39","219","222","0","0","PDK-AAK-NISMA"
"590118427700874_1522276784485029","PDKqender","2017-10-01 16:27:52","242","245","0","0","PDK-AAK-NISMA"
"590118427700874_1522307787815262","PDKqender","2017-10-01 17:13:15","319","324","0","3","PDK-AAK-NISMA"
"590118427700874_1522517041127670","PDKqender","2017-10-01 22:24:35","308","309","1","7","PDK-AAK-NISMA"
"590118427700874_1523254481053926","PDKqender","2017-10-02 19:28:46","1174","1181","11","58","PDK-AAK-NISMA"
"590118427700874_1523312144381493","PDKqender","2017-10-02 20:42:52","383","388","9","0","PDK-AAK-NISMA"
"590118427700874_1523960824316625","PDKqender","2017-10-03 16:24:23","606","612","12","39","PDK-AAK-NISMA"
"590118427700874_1524131437632897","PDKqender","2017-10-03 20:25:53","156","157","0","0","PDK-AAK-NISMA"
"590118427700874_1524151017630939","PDKqender","2017-10-03 20:56:29","262","264","1","0","PDK-AAK-NISMA"
"590118427700874_1524611254251582","PDKqender","2017-10-04 10:37:57","185","186","1","0","PDK-AAK-NISMA"
"590118427700874_1524819574230750","PDKqender","2017-10-04 15:44:55","213","213","0","0","PDK-AAK-NISMA"
"590118427700874_1525181434194564","PDKqender","2017-10-04 23:51:49","264","264","0","1","PDK-AAK-NISMA"
"590118427700874_1526103510769023","PDKqender","2017-10-05 21:20:47","357","358","2","4","PDK-AAK-NISMA"
"590118427700874_1526528070726567","PDKqender","2017-10-06 10:18:31","419","419","0","8","PDK-AAK-NISMA"
"590118427700874_1526678940711480","PDKqender","2017-10-06 14:38:17","241","242","0","0","PDK-AAK-NISMA"
"590118427700874_1526784700700904","PDKqender","2017-10-06 16:58:59","268","268","0","1","PDK-AAK-NISMA"
"590118427700874_1526968127349228","PDKqender","2017-10-06 21:08:43","290","291","1","0","PDK-AAK-NISMA"
"590118427700874_1527832860596088","PDKqender","2017-10-07 21:05:08","225","225","0","0","PDK-AAK-NISMA"
"590118427700874_1527833343929373","PDKqender","2017-10-07 21:05:47","331","331","3","0","PDK-AAK-NISMA"
"590118427700874_1527868057259235","PDKqender","2017-10-07 22:02:31","532","532","8","13","PDK-AAK-NISMA"
"590118427700874_1528477163864991","PDKqender","2017-10-08 15:38:35","183","183","1","0","PDK-AAK-NISMA"
"590118427700874_1528526387193402","PDKqender","2017-10-08 16:48:42","255","255","1","1","PDK-AAK-NISMA"
"590118427700874_1528540610525313","PDKqender","2017-10-08 17:02:58","590","592","5","3","PDK-AAK-NISMA"
"590118427700874_1528762250503149","PDKqender","2017-10-08 22:26:42","263","263","3","3","PDK-AAK-NISMA"
"590118427700874_1529362420443132","PDKqender","2017-10-09 14:42:24","105","107","1","0","PDK-AAK-NISMA"
"590118427700874_1529446417101399","PDKqender","2017-10-09 16:27:09","198","198","1","0","PDK-AAK-NISMA"
"590118427700874_1529473437098697","PDKqender","2017-10-09 17:01:17","301","301","3","2","PDK-AAK-NISMA"
"590118427700874_1529537550425619","PDKqender","2017-10-09 18:28:12","348","348","2","4","PDK-AAK-NISMA"
"590118427700874_1529655540413820","PDKqender","2017-10-09 21:23:10","133","133","1","0","PDK-AAK-NISMA"
"590118427700874_1530274920351882","PDKqender","2017-10-10 15:24:50","118","119","3","3","PDK-AAK-NISMA"
"590118427700874_1530405740338800","PDKqender","2017-10-10 18:27:19","182","183","4","0","PDK-AAK-NISMA"
"590118427700874_1530467733665934","PDKqender","2017-10-10 19:57:59","75","76","0","0","PDK-AAK-NISMA"
"590118427700874_1530468086999232","PDKqender","2017-10-10 19:58:28","276","278","2","3","PDK-AAK-NISMA"
"590118427700874_1531369833575724","PDKqender","2017-10-11 21:28:01","194","195","0","0","PDK-AAK-NISMA"
"590118427700874_1531370420242332","PDKqender","2017-10-11 21:28:28","150","151","0","0","PDK-AAK-NISMA"
"590118427700874_1532626433450064","PDKqender","2017-10-12 09:20:12","334","336","2","1","PDK-AAK-NISMA"
"590118427700874_1532751720104202","PDKqender","2017-10-12 13:07:30","918","937","31","179","PDK-AAK-NISMA"
"590118427700874_1532881450091229","PDKqender","2017-10-12 15:38:59","280","281","2","2","PDK-AAK-NISMA"
"590118427700874_1533243173388390","PDKqender","2017-10-12 23:51:03","268","268","3","5","PDK-AAK-NISMA"
"590118427700874_1533564306689610","PDKqender","2017-10-13 09:22:50","234","237","0","1","PDK-AAK-NISMA"
"590118427700874_1533735906672450","PDKqender","2017-10-13 14:26:05","321","324","4","150","PDK-AAK-NISMA"
"590118427700874_1533738546672186","PDKqender","2017-10-13 14:26:51","361","363","2","1","PDK-AAK-NISMA"
"590118427700874_1533840669995307","PDKqender","2017-10-13 16:21:33","262","263","1","7","PDK-AAK-NISMA"
"590118427700874_1534000173312690","PDKqender","2017-10-13 19:50:45","277","278","0","6","PDK-AAK-NISMA"
"590118427700874_1534114889967885","PDKqender","2017-10-13 22:23:19","361","364","2","10","PDK-AAK-NISMA"
"590118427700874_1534135036632537","PDKqender","2017-10-14 09:00:27","306","307","2","3","PDK-AAK-NISMA"
"590118427700874_1534811583231549","PDKqender","2017-10-14 18:23:44","302","305","3","3","PDK-AAK-NISMA"
"590118427700874_1534889909890383","PDKqender","2017-10-14 19:30:31","460","463","0","7","PDK-AAK-NISMA"
"590118427700874_1534896823223025","PDKqender","2017-10-14 20:30:37","729","732","1","12","PDK-AAK-NISMA"
"590118427700874_1535458803166827","PDKqender","2017-10-15 09:29:00","469","473","3","2","PDK-AAK-NISMA"
"590118427700874_1535562983156409","PDKqender","2017-10-15 12:45:58","277","280","4","0","PDK-AAK-NISMA"
"590118427700874_1535698436476197","PDKqender","2017-10-15 15:55:42","269","269","5","0","PDK-AAK-NISMA"
"590118427700874_1535776573135050","PDKqender","2017-10-15 17:47:39","371","372","8","0","PDK-AAK-NISMA"
"590118427700874_1535826119796762","PDKqender","2017-10-15 18:56:37","535","536","6","8","PDK-AAK-NISMA"
"590118427700874_1535848703127837","PDKqender","2017-10-15 20:30:00","328","328","2","3","PDK-AAK-NISMA"
"590118427700874_1536312063081501","PDKqender","2017-10-16 09:16:56","3960","4046","214","0","PDK-AAK-NISMA"
"590118427700874_1536412413071466","PDKqender","2017-10-16 12:33:55","291","291","2","0","PDK-AAK-NISMA"
"590118427700874_1536549869724387","PDKqender","2017-10-16 16:00:00","410","410","3","5","PDK-AAK-NISMA"
"590118427700874_1536561209723253","PDKqender","2017-10-16 16:02:13","500","505","9","69","PDK-AAK-NISMA"
"590118427700874_1536755683037139","PDKqender","2017-10-16 20:19:43","238","238","1","2","PDK-AAK-NISMA"
"590118427700874_1537289539650420","PDKqender","2017-10-17 09:01:15","180","181","1","1","PDK-AAK-NISMA"
"590118427700874_1537371969642177","PDKqender","2017-10-17 11:56:55","677","683","14","0","PDK-AAK-NISMA"
"590118427700874_1537433449636029","PDKqender","2017-10-17 13:49:08","220","222","3","2","PDK-AAK-NISMA"
