"dpid","EmriPartise","Data","nrLike","nrReaction","nrKomente","nrShare","nrPosteve","koalicionet"
"578","aleancakosovaere","2017-05-21","345","346","8","2","2",""
"579","AlternativaKosova","2017-05-21","334","338","12","3","1",""
"580","drejtesiaofficial","2017-05-21","47","47","1","2","1",""
"581","LidhjaDemokratikeeKosovesOFFICIAL","2017-05-21","6999","7036","62","190","13",""
"582","nismaperkosoven.official","2017-05-21","266","270","10","13","2",""
"583","PDKqender","2017-05-21","363","376","34","61","1",""
"584","vetevendosje","2017-05-21","14859","16164","4358","1328","4",""
"585","aleancakosovaere","2017-05-20","545","550","15","4","4",""
"586","AlternativaKosova","2017-05-20","923","935","126","20","6",""
"587","drejtesiaofficial","2017-05-20","61","61","8","6","1",""
"588","LidhjaDemokratikeeKosovesOFFICIAL","2017-05-20","1319","1321","12","38","5",""
"589","nismaperkosoven.official","2017-05-20","901","927","53","101","5",""
"590","PDKqender","2017-05-20","444","448","7","0","1",""
"591","vetevendosje","2017-05-20","3803","3984","80","200","1",""
"592","Aleanca.Official","2017-05-20","0","0","0","0","0",""
"593","Aleanca.Official","2017-05-19","1169","1184","74","33","3",""
"594","aleancakosovaere","2017-05-19","1012","1019","34","7","4",""
"595","AlternativaKosova","2017-05-19","258","261","11","11","2",""
"596","drejtesiaofficial","2017-05-19","11","12","0","1","1",""
"597","LidhjaDemokratikeeKosovesOFFICIAL","2017-05-19","3697","3831","69","110","12",""
"598","nismaperkosoven.official","2017-05-19","515","517","25","24","5",""
"599","vetevendosje","2017-05-19","9973","10105","415","437","5",""
"600","PDKqender","2017-05-19","0","0","0","0","0",""
"601","Aleanca.Official","2017-05-18","1975","1980","28","49","4",""
"602","aleancakosovaere","2017-05-18","1266","1273","66","18","5",""
"603","AlternativaKosova","2017-05-18","164","164","6","8","1",""
"604","LidhjaDemokratikeeKosovesOFFICIAL","2017-05-18","7920","7955","97","114","12",""
"605","nismaperkosoven.official","2017-05-18","750","752","24","89","4",""
"606","PDKqender","2017-05-18","1400","1419","166","17","3",""
"607","vetevendosje","2017-05-18","31812","32756","2707","2394","6",""
"608","drejtesiaofficial","2017-05-18","0","0","0","0","0",""
"609","Aleanca.Official","2017-05-17","1826","1842","16","60","4",""
"610","aleancakosovaere","2017-05-17","701","707","41","0","3",""
"611","AlternativaKosova","2017-05-17","84","84","0","1","1",""
"612","drejtesiaofficial","2017-05-17","43","43","0","1","1",""
"613","LidhjaDemokratikeeKosovesOFFICIAL","2017-05-17","2618","2627","29","32","7",""
"614","nismaperkosoven.official","2017-05-17","384","395","31","9","5",""
"615","PDKqender","2017-05-17","909","915","17","10","3",""
"616","vetevendosje","2017-05-17","3131","3220","337","130","1",""
"617","Aleanca.Official","2017-05-16","1480","1489","27","58","3",""
"618","aleancakosovaere","2017-05-16","1224","1263","109","6","4",""
"619","AlternativaKosova","2017-05-16","1175","1195","97","3","2",""
"620","drejtesiaofficial","2017-05-16","77","80","18","3","2",""
"621","LidhjaDemokratikeeKosovesOFFICIAL","2017-05-16","10337","10392","283","244","16",""
"622","nismaperkosoven.official","2017-05-16","754","758","14","81","8",""
"623","PDKqender","2017-05-16","2850","2904","339","53","8",""
"624","vetevendosje","2017-05-16","1771","1807","406","300","2",""
"625","Aleanca.Official","2017-05-15","2632","2638","19","109","5",""
"626","aleancakosovaere","2017-05-15","237","238","8","4","2",""
"627","AlternativaKosova","2017-05-15","407","408","16","5","2",""
"628","LidhjaDemokratikeeKosovesOFFICIAL","2017-05-15","2834","2849","100","39","14",""
"629","nismaperkosoven.official","2017-05-15","900","902","5","46","8",""
"630","PDKqender","2017-05-15","897","898","7","2","3",""
"631","vetevendosje","2017-05-15","866","878","99","188","1",""
"632","drejtesiaofficial","2017-05-15","0","0","0","0","0",""
"633","Aleanca.Official","2017-05-14","631","631","6","13","1",""
"634","aleancakosovaere","2017-05-14","1029","1041","38","0","3",""
"635","LidhjaDemokratikeeKosovesOFFICIAL","2017-05-14","503","506","1","4","3",""
"636","nismaperkosoven.official","2017-05-14","854","857","11","10","5",""
"637","PDKqender","2017-05-14","2937","2951","43","18","5",""
"638","drejtesiaofficial","2017-05-14","0","0","0","0","0",""
"639","AlternativaKosova","2017-05-14","0","0","0","0","0",""
"640","vetevendosje","2017-05-14","0","0","0","0","0",""
"641","Aleanca.Official","2017-05-13","3977","4112","640","199","5",""
"642","aleancakosovaere","2017-05-13","996","1002","28","16","6",""
"643","AlternativaKosova","2017-05-13","96","96","4","2","1",""
"644","drejtesiaofficial","2017-05-13","9","9","1","3","1",""
"645","LidhjaDemokratikeeKosovesOFFICIAL","2017-05-13","1620","1632","15","52","6",""
"646","nismaperkosoven.official","2017-05-13","306","308","10","16","2",""
"647","PDKqender","2017-05-13","274","276","1","0","1",""
"648","vetevendosje","2017-05-13","1624","1641","87","65","1",""
"649","aleancakosovaere","2017-05-12","1525","1544","34","22","6",""
"650","LidhjaDemokratikeeKosovesOFFICIAL","2017-05-12","1280","1283","16","41","8",""
"651","nismaperkosoven.official","2017-05-12","301","303","9","21","2",""
"652","PDKqender","2017-05-12","1966","1980","23","15","4",""
"653","vetevendosje","2017-05-12","1496","1576","318","102","2",""
"654","drejtesiaofficial","2017-05-12","0","0","0","0","0",""
"655","AlternativaKosova","2017-05-12","0","0","0","0","0",""
"656","Aleanca.Official","2017-05-12","0","0","0","0","0",""
"657","Aleanca.Official","2017-05-11","3216","3406","821","231","5",""
"658","aleancakosovaere","2017-05-11","1213","1216","15","8","6",""
"659","AlternativaKosova","2017-05-11","489","491","23","49","1",""
