"postiid","kandidatiname","kohapostimit","nrlike","nrReaction","nrkomenteve","nrshare"
"220997878400104_285032158663342","albini2017","2017-10-12 12:41:16","528","553","11","29"
"220997878400104_285083418658216","albini2017","2017-10-12 16:07:14","7124","7415","224","329"
"220997878400104_285392195294005","albini2017","2017-10-13 12:53:37","713","739","20","35"
"220997878400104_285493748617183","albini2017","2017-10-13 19:56:47","3856","4049","313","575"
"220997878400104_285513231948568","albini2017","2017-10-13 18:58:07","681","705","3","14"
"220997878400104_285757481924143","albini2017","2017-10-14 12:00:01","702","721","4","11"
"220997878400104_286376961862195","albini2017","2017-10-15 23:10:33","1449","1506","34","87"
"220997878400104_286617981838093","albini2017","2017-10-16 15:19:46","497","516","3","12"
"220997878400104_286889908477567","albini2017","2017-10-17 09:30:01","1044","1089","23","28"
"220997878400104_286908051809086","albini2017","2017-10-17 10:39:43","676","705","17","24"
"220997878400104_287320811767810","albini2017","2017-10-18 13:48:43","578","612","16","13"
"220997878400104_287377165095508","albini2017","2017-10-18 16:42:38","1251","1309","19","26"
"220997878400104_287675278399030","albini2017","2017-10-19 12:44:33","1134","1186","35","78"
"220997878400104_287675771732314","albini2017","2017-10-19 14:30:01","750","788","14","38"
"220997878400104_287854398381118","albini2017","2017-10-19 22:58:11","535","561","10","28"
"220997878400104_288022418364316","albini2017","2017-10-20 12:38:04","427","445","13","5"
"220997878400104_288027438363814","albini2017","2017-10-20 13:40:00","585","621","12","12"
"220997878400104_288045408362017","albini2017","2017-10-20 15:20:02","463","496","13","14"
"220997878400104_288083475024877","albini2017","2017-10-20 16:04:49","1532","1601","56","78"
"220997878400104_288101351689756","albini2017","2017-10-20 17:39:02","960","1009","39","29"
"220997878400104_288201768346381","albini2017","2017-10-20 23:23:51","2129","2301","104","284"
"220997878400104_288576058308952","albini2017","2017-10-22 02:19:52","518","550","13","41"
"220997878400104_288761734957051","albini2017","2017-10-22 09:48:38","3583","3764","123","95"
"220997878400104_289332431566648","albini2017","2017-10-23 22:10:38","2907","3061","224","147"
"220997878400104_289954681504423","albini2017","2017-10-25 19:20:08","1108","1145","52","115"
"220997878400104_294011164432108","albini2017","2017-11-05 18:48:04","617","645","8","47"
"220997878400104_294045567762001","albini2017","2017-11-05 21:12:49","751","818","22","132"
"307617160152_10159357004435153","behgjeti","2017-10-02 11:21:03","398","427","18","2"
"307617160152_10159357428465153","behgjeti","2017-10-02 14:11:07","516","520","4","9"
"307617160152_10159358573120153","behgjeti","2017-10-02 19:53:02","369","385","14","5"
"307617160152_10159359531270153","behgjeti","2017-10-03 00:48:02","561","564","6","0"
"307617160152_10159360964055153","behgjeti","2017-10-03 11:18:50","381","381","7","12"
"307617160152_10159362074930153","behgjeti","2017-10-03 18:27:51","380","386","3","0"
"307617160152_10159363298385153","behgjeti","2017-10-04 00:18:21","511","515","10","28"
"307617160152_10159369799620153","behgjeti","2017-10-05 17:34:20","776","791","20","27"
"307617160152_10159374276715153","behgjeti","2017-10-06 19:09:03","792","798","21","18"
"307617160152_10159374734440153","behgjeti","2017-10-06 20:38:36","704","711","14","4"
"307617160152_10159391406970153","behgjeti","2017-10-10 21:05:42","470","478","2","6"
"307617160152_10159393713160153","behgjeti","2017-10-11 12:32:40","731","738","26","12"
"307617160152_10159393933665153","behgjeti","2017-10-11 14:20:01","546","554","27","15"
"307617160152_10159394334915153","behgjeti","2017-10-11 16:41:50","666","669","5","15"
"307617160152_10159395070130153","behgjeti","2017-10-11 20:04:47","592","596","21","0"
"307617160152_10159402307665153","behgjeti","2017-10-13 16:53:07","1214","1219","22","20"
"307617160152_10159406903760153","behgjeti","2017-10-14 19:35:09","2132","2153","43","30"
"307617160152_10159414880360153","behgjeti","2017-10-16 19:45:01","578","585","7","33"
"307617160152_10159417411865153","behgjeti","2017-10-17 12:42:28","856","866","25","93"
"307617160152_10159418745560153","behgjeti","2017-10-17 20:19:43","8545","8896","837","1297"
"307617160152_10159426098245153","behgjeti","2017-10-19 14:35:00","6078","6119","136","72"
"307617160152_10159426279190153","behgjeti","2017-10-19 15:14:06","634","640","5","10"
"307617160152_10159426871790153","behgjeti","2017-10-19 18:38:02","428","433","9","8"
"307617160152_10159430601025153","behgjeti","2017-10-20 15:24:35","2408","2471","199","135"
"307617160152_10159430616620153","behgjeti","2017-10-20 14:45:37","583","586","12","0"
"307617160152_10159434732990153","behgjeti","2017-10-21 12:37:46","2345","2429","198","37"
"307617160152_10159439053975153","behgjeti","2017-10-22 11:53:54","947","957","36","20"
"307617160152_10159443436610153","behgjeti","2017-10-23 14:27:19","1256","1263","28","15"
"307617160152_10159451640070153","behgjeti","2017-10-25 15:21:23","1044","1052","17","11"
"307617160152_10159452595915153","behgjeti","2017-10-25 19:39:22","685","693","8","10"
"307617160152_10159455444620153","behgjeti","2017-10-26 14:00:00","1663","1713","142","47"
"307617160152_10159456402565153","behgjeti","2017-10-26 19:20:06","2891","2942","63","101"
"307617160152_10159459301700153","behgjeti","2017-10-27 14:05:07","1059","1076","32","36"
"307617160152_10159461152265153","behgjeti","2017-10-27 23:41:50","924","940","27","15"
"307617160152_10159463823245153","behgjeti","2017-10-28 15:11:30","722","726","11","11"
"307617160152_10159476576625153","behgjeti","2017-10-31 11:15:38","622","630","23","24"
"307617160152_10159479162610153","behgjeti","2017-10-31 23:14:52","414","439","3","2"
"307617160152_10159482989785153","behgjeti","2017-11-01 20:01:11","771","783","12","14"
"307617160152_10159483622340153","behgjeti","2017-11-01 23:37:31","476","479","8","13"
"307617160152_10159483743840153","behgjeti","2017-11-02 00:09:24","419","423","10","10"
"307617160152_10159485236450153","behgjeti","2017-11-02 10:32:49","433","438","6","8"
"307617160152_10159485425385153","behgjeti","2017-11-02 11:46:47","310","313","23","5"
"46500444097_10155667336714098","fatmirlimaj","2017-10-02 18:14:39","395","408","46","32"
"46500444097_10155668045904098","fatmirlimaj","2017-10-02 22:20:31","438","439","7","19"
"46500444097_10155670095159098","fatmirlimaj","2017-10-03 18:06:15","831","843","29","141"
"46500444097_10155670114789098","fatmirlimaj","2017-10-03 18:23:33","362","377","27","14"
"46500444097_10155670336064098","fatmirlimaj","2017-10-03 19:44:58","163","164","0","9"
"46500444097_10155670559339098","fatmirlimaj","2017-10-03 21:05:39","442","442","9","14"
"46500444097_10155671859744098","fatmirlimaj","2017-10-04 12:05:47","542","543","1","15"
"46500444097_10155671868534098","fatmirlimaj","2017-10-04 12:09:32","254","254","5","3"
"46500444097_10155672319924098","fatmirlimaj","2017-10-04 16:22:50","440","440","0","16"
"46500444097_10155675037359098","fatmirlimaj","2017-10-05 18:11:05","540","541","10","14"
"46500444097_10155675534514098","fatmirlimaj","2017-10-05 21:37:47","851","854","7","24"
"46500444097_10155677150484098","fatmirlimaj","2017-10-06 13:53:32","800","801","11","37"
"46500444097_10155677728759098","fatmirlimaj","2017-10-06 19:33:14","440","456","96","29"
"46500444097_10155678594404098","fatmirlimaj","2017-10-06 22:39:59","521","521","2","8"
"46500444097_10155678600084098","fatmirlimaj","2017-10-06 22:42:58","398","399","0","10"
"46500444097_10155678684774098","fatmirlimaj","2017-10-06 23:13:58","450","451","5","10"
"46500444097_10155680192824098","fatmirlimaj","2017-10-07 14:08:16","492","492","9","6"
"46500444097_10155681110204098","fatmirlimaj","2017-10-07 21:28:06","402","415","103","39"
"46500444097_10155681177559098","fatmirlimaj","2017-10-07 21:11:13","555","555","5","15"
"46500444097_10155683176944098","fatmirlimaj","2017-10-08 14:40:21","668","670","5","10"
"46500444097_10155683254669098","fatmirlimaj","2017-10-08 15:25:04","731","732","7","12"
"46500444097_10155683634839098","fatmirlimaj","2017-10-08 18:35:49","289","291","2","8"
"46500444097_10155683706264098","fatmirlimaj","2017-10-08 19:08:38","739","739","5","9"
"46500444097_10155683782459098","fatmirlimaj","2017-10-08 21:19:24","348","358","58","18"
"46500444097_10155684301709098","fatmirlimaj","2017-10-08 22:52:56","787","788","9","21"
"46500444097_10155686028494098","fatmirlimaj","2017-10-09 16:37:40","272","272","7","7"
"46500444097_10155686590894098","fatmirlimaj","2017-10-09 20:59:33","227","227","1","4"
"46500444097_10155689237599098","fatmirlimaj","2017-10-10 21:15:24","874","874","3","20"
"46500444097_10155689267904098","fatmirlimaj","2017-10-10 21:34:27","640","640","0","9"
"46500444097_10155689418499098","fatmirlimaj","2017-10-10 22:49:17","299","299","2","17"
"46500444097_10155691143279098","fatmirlimaj","2017-10-11 16:04:01","435","436","3","21"
"46500444097_10155691408619098","fatmirlimaj","2017-10-11 18:40:53","377","377","8","39"
"46500444097_10155691608969098","fatmirlimaj","2017-10-11 20:20:53","205","206","1","16"
"46500444097_10155691869209098","fatmirlimaj","2017-10-11 21:41:02","289","307","89","33"
"46500444097_10155692024694098","fatmirlimaj","2017-10-11 23:01:53","275","276","0","22"
"46500444097_10155693414174098","fatmirlimaj","2017-10-12 15:02:51","369","370","3","15"
"46500444097_10155694184334098","fatmirlimaj","2017-10-12 20:18:50","557","590","126","25"
"46500444097_10155694762454098","fatmirlimaj","2017-10-12 23:30:50","475","476","2","20"
"46500444097_10155697025054098","fatmirlimaj","2017-10-13 20:32:53","340","363","88","22"
"46500444097_10155697460284098","fatmirlimaj","2017-10-13 23:06:14","350","350","0","9"
"46500444097_10155698715554098","fatmirlimaj","2017-10-14 13:00:50","230","231","0","9"
"46500444097_10155698763684098","fatmirlimaj","2017-10-14 14:15:51","515","522","53","34"
"46500444097_10155699618914098","fatmirlimaj","2017-10-14 20:42:39","1019","1021","4","10"
"46500444097_10155701536924098","fatmirlimaj","2017-10-15 17:28:50","717","757","224","58"
"46500444097_10155701913434098","fatmirlimaj","2017-10-15 20:33:35","324","335","50","8"
"46500444097_10155702115319098","fatmirlimaj","2017-10-15 20:28:23","856","862","8","47"
"46500444097_10155703476354098","fatmirlimaj","2017-10-16 10:42:48","322","322","2","4"
"46500444097_10155704607434098","fatmirlimaj","2017-10-16 20:13:41","384","400","61","10"
"46500444097_10155704618444098","fatmirlimaj","2017-10-16 20:00:37","538","542","13","14"
"46500444097_10155704826124098","fatmirlimaj","2017-10-16 21:03:34","259","268","33","22"
"46500444097_10155705256849098","fatmirlimaj","2017-10-16 23:33:10","212","212","0","6"
"46500444097_10155706963929098","fatmirlimaj","2017-10-17 12:48:31","412","413","4","17"
"46500444097_10155708663449098","fatmirlimaj","2017-10-17 22:58:16","338","339","4","9"
"46500444097_10155710026439098","fatmirlimaj","2017-10-18 10:44:34","271","272","3","13"
"46500444097_10155710134939098","fatmirlimaj","2017-10-18 12:06:15","279","279","0","7"
"46500444097_10155710746884098","fatmirlimaj","2017-10-18 15:14:08","739","741","13","37"
"46500444097_10155711025839098","fatmirlimaj","2017-10-18 17:11:13","200","206","13","9"
"46500444097_10155711192869098","fatmirlimaj","2017-10-18 18:16:26","457","483","72","25"
"46500444097_10155711324194098","fatmirlimaj","2017-10-18 19:04:29","630","632","9","67"
"46500444097_10155711491089098","fatmirlimaj","2017-10-18 20:00:23","386","395","61","27"
"46500444097_10155711688334098","fatmirlimaj","2017-10-18 20:43:03","240","242","21","10"
"46500444097_10155713232764098","fatmirlimaj","2017-10-19 10:22:00","439","440","2","12"
"46500444097_10155713349959098","fatmirlimaj","2017-10-19 11:54:56","545","547","5","8"
"46500444097_10155713524714098","fatmirlimaj","2017-10-19 12:43:30","472","472","5","16"
"46500444097_10155713901894098","fatmirlimaj","2017-10-19 15:33:49","1557","1566","28","48"
"46500444097_10155714007239098","fatmirlimaj","2017-10-19 17:40:43","587","624","179","109"
"46500444097_10155714952914098","fatmirlimaj","2017-10-19 21:57:34","585","586","6","34"
"46500444097_10155715078429098","fatmirlimaj","2017-10-19 22:50:34","749","753","22","15"
"46500444097_10155716396169098","fatmirlimaj","2017-10-20 11:48:46","276","277","3","7"
"46500444097_10155716399614098","fatmirlimaj","2017-10-20 11:51:39","238","240","3","2"
"46500444097_10155716443609098","fatmirlimaj","2017-10-20 12:05:15","285","286","7","8"
"46500444097_10155716957464098","fatmirlimaj","2017-10-20 16:51:37","337","347","35","14"
"46500444097_10155717400744098","fatmirlimaj","2017-10-20 19:22:04","797","804","24","93"
"46500444097_10155717728614098","fatmirlimaj","2017-10-20 21:15:20","417","418","2","10"
"46500444097_10155718000574098","fatmirlimaj","2017-10-20 23:16:13","671","673","8","22"
"46500444097_10155722088784098","fatmirlimaj","2017-10-22 12:25:48","690","692","6","19"
"46500444097_10155722389444098","fatmirlimaj","2017-10-22 15:10:30","219","225","41","4"
"46500444097_10155725086704098","fatmirlimaj","2017-10-23 15:04:21","333","349","47","10"
"46500444097_10155725196854098","fatmirlimaj","2017-10-23 15:59:35","503","507","15","31"
"46500444097_10155727682954098","fatmirlimaj","2017-10-24 15:07:48","353","354","3","14"
"46500444097_10155735945609098","fatmirlimaj","2017-10-27 18:15:57","499","500","3","41"
"46500444097_10155738145924098","fatmirlimaj","2017-10-28 15:37:11","343","344","3","31"
"46500444097_10155745950809098","fatmirlimaj","2017-10-31 13:21:56","396","397","0","43"
"46500444097_10155747172889098","fatmirlimaj","2017-10-31 21:15:39","111","111","4","0"
"46500444097_10155748630959098","fatmirlimaj","2017-11-01 11:31:06","188","195","0","7"
"46500444097_10155756848254098","fatmirlimaj","2017-11-04 15:41:19","293","293","0","32"
"538814499513242_1670790369648977","avdullah.hoti","2017-10-02 13:05:20","64","64","1","0"
"538814499513242_1671033429624671","avdullah.hoti","2017-10-02 18:39:34","106","107","0","3"
"538814499513242_1671071572954190","avdullah.hoti","2017-10-02 19:30:38","88","88","0","2"
"538814499513242_1671073832953964","avdullah.hoti","2017-10-03 10:00:50","102","102","0","14"
"538814499513242_1671075746287106","avdullah.hoti","2017-10-02 19:36:52","272","273","1","1"
"538814499513242_1671095812951766","avdullah.hoti","2017-10-02 20:06:34","433","433","4","2"
"538814499513242_1671714402889907","avdullah.hoti","2017-10-03 13:18:14","289","290","1","0"
"538814499513242_1671789479549066","avdullah.hoti","2017-10-03 14:47:50","99","99","2","1"
"538814499513242_1671854942875853","avdullah.hoti","2017-10-03 16:24:17","110","111","0","0"
"538814499513242_1671960632865284","avdullah.hoti","2017-10-03 18:54:49","152","153","6","5"
"538814499513242_1671996582861689","avdullah.hoti","2017-10-03 19:51:18","148","148","2","2"
"538814499513242_1672097576184923","avdullah.hoti","2017-10-03 22:37:35","473","474","18","6"
"538814499513242_1672105459517468","avdullah.hoti","2017-10-03 22:49:55","227","228","3","0"
"538814499513242_1672972069430807","avdullah.hoti","2017-10-04 20:14:29","577","578","4","31"
"538814499513242_1672993949428619","avdullah.hoti","2017-10-04 20:47:10","514","516","6","10"
"538814499513242_1672996409428373","avdullah.hoti","2017-10-04 20:50:42","263","264","0","7"
"538814499513242_1673002722761075","avdullah.hoti","2017-10-04 20:59:48","447","449","1","0"
"538814499513242_1673052739422740","avdullah.hoti","2017-10-04 22:12:48","856","859","11","1"
"538814499513242_1673787092682638","avdullah.hoti","2017-10-05 18:26:41","146","146","0","2"
"538814499513242_1673894256005255","avdullah.hoti","2017-10-05 20:51:53","159","159","0","4"
"538814499513242_1673899122671435","avdullah.hoti","2017-10-05 20:58:33","306","306","1","5"
"538814499513242_1673905189337495","avdullah.hoti","2017-10-05 21:07:14","322","322","0","1"
"538814499513242_1673914899336524","avdullah.hoti","2017-10-05 21:17:31","424","425","0","8"
"538814499513242_1674588312602516","avdullah.hoti","2017-10-06 15:40:58","164","165","0","2"
"538814499513242_1674631745931506","avdullah.hoti","2017-10-06 16:45:15","175","176","0","7"
"538814499513242_1674676425927038","avdullah.hoti","2017-10-06 17:30:59","192","193","1","10"
"538814499513242_1674792642582083","avdullah.hoti","2017-10-06 19:52:07","122","123","0","1"
"538814499513242_1674806632580684","avdullah.hoti","2017-10-06 20:08:32","124","125","4","0"
"538814499513242_1675266865867994","avdullah.hoti","2017-10-07 09:01:33","95","96","0","4"
"538814499513242_1675504099177604","avdullah.hoti","2017-10-07 15:02:47","253","254","0","1"
"538814499513242_1675532049174809","avdullah.hoti","2017-10-07 15:40:55","355","363","30","6"
"538814499513242_1675666865827994","avdullah.hoti","2017-10-07 18:34:01","150","150","1","0"
"538814499513242_1675675075827173","avdullah.hoti","2017-10-07 18:41:01","191","192","1","0"
"538814499513242_1675701879157826","avdullah.hoti","2017-10-07 19:17:40","318","319","1","12"
"538814499513242_1675869425807738","avdullah.hoti","2017-10-07 23:31:02","210","212","0","1"
"538814499513242_1675873725807308","avdullah.hoti","2017-10-07 23:38:00","79","80","0","0"
"538814499513242_1675899349138079","avdullah.hoti","2017-10-08 00:20:23","182","183","2","1"
"538814499513242_1675905279137486","avdullah.hoti","2017-10-08 00:29:24","531","533","5","5"
"538814499513242_1676258849102129","avdullah.hoti","2017-10-08 10:15:25","241","243","2","7"
"538814499513242_1676260202435327","avdullah.hoti","2017-10-08 10:16:36","209","210","1","4"
"538814499513242_1676266852434662","avdullah.hoti","2017-10-08 10:20:11","353","354","8","6"
"538814499513242_1676272112434136","avdullah.hoti","2017-10-08 10:30:35","93","94","0","0"
"538814499513242_1676495865745094","avdullah.hoti","2017-10-08 16:06:30","157","158","0","2"
"538814499513242_1676502339077780","avdullah.hoti","2017-10-08 16:15:49","183","184","3","2"
"538814499513242_1676871072374240","avdullah.hoti","2017-10-09 09:00:53","180","181","0","1"
"538814499513242_1676874422373905","avdullah.hoti","2017-10-09 10:00:22","203","204","2","4"
"538814499513242_1676879985706682","avdullah.hoti","2017-10-09 09:30:35","189","190","0","0"
"538814499513242_1676883519039662","avdullah.hoti","2017-10-09 00:48:36","170","171","1","2"
"538814499513242_1676885612372786","avdullah.hoti","2017-10-09 09:10:39","67","68","0","1"
"538814499513242_1677760485618632","avdullah.hoti","2017-10-09 22:06:33","459","461","7","5"
"538814499513242_1677776518950362","avdullah.hoti","2017-10-09 22:26:28","59","60","0","0"
"538814499513242_1678169942244353","avdullah.hoti","2017-10-10 08:16:48","182","183","0","4"
"538814499513242_1678170975577583","avdullah.hoti","2017-10-10 08:19:48","144","145","2","1"
"538814499513242_1678236595571021","avdullah.hoti","2017-10-10 10:23:37","63","64","0","0"
"538814499513242_1678356425559038","avdullah.hoti","2017-10-10 13:43:48","55","56","0","0"
"538814499513242_1678440265550654","avdullah.hoti","2017-10-10 15:21:07","171","172","0","0"
"538814499513242_1678509545543726","avdullah.hoti","2017-10-10 16:42:19","162","163","3","21"
"538814499513242_1678635905531090","avdullah.hoti","2017-10-10 19:13:08","195","196","3","5"
"538814499513242_1678642605530420","avdullah.hoti","2017-10-10 19:22:19","177","178","2","1"
"538814499513242_1678647972196550","avdullah.hoti","2017-10-10 19:29:22","44","45","0","0"
"538814499513242_1678649368863077","avdullah.hoti","2017-10-10 19:31:13","33","34","0","0"
"538814499513242_1678655005529180","avdullah.hoti","2017-10-10 19:39:02","265","266","1","2"
"538814499513242_1678673885527292","avdullah.hoti","2017-10-10 20:06:25","123","124","6","4"
"538814499513242_1678807448847269","avdullah.hoti","2017-10-10 22:59:03","60","61","0","0"
"538814499513242_1678819515512729","avdullah.hoti","2017-10-10 23:17:06","113","113","0","0"
"538814499513242_1678837455510935","avdullah.hoti","2017-10-11 11:00:04","144","146","5","3"
"538814499513242_1678851952176152","avdullah.hoti","2017-10-11 09:00:51","128","129","3","6"
"538814499513242_1679397565454924","avdullah.hoti","2017-10-11 15:08:16","227","229","2","14"
"538814499513242_1679619778766036","avdullah.hoti","2017-10-11 20:06:18","153","154","0","2"
"538814499513242_1679722375422443","avdullah.hoti","2017-10-11 22:36:06","248","249","1","3"
"538814499513242_1679725672088780","avdullah.hoti","2017-10-11 22:40:28","388","389","11","8"
"538814499513242_1679730538754960","avdullah.hoti","2017-10-11 22:48:05","146","147","1","2"
"538814499513242_1679747685419912","avdullah.hoti","2017-10-11 23:20:01","28","29","0","0"
"538814499513242_1679748292086518","avdullah.hoti","2017-10-11 23:20:58","32","33","0","0"
"538814499513242_1679780038750010","avdullah.hoti","2017-10-12 11:00:10","35","36","0","5"
"538814499513242_1679782745416406","avdullah.hoti","2017-10-12 08:00:48","72","73","0","1"
"538814499513242_1680346872026660","avdullah.hoti","2017-10-12 15:56:19","199","200","0","0"
"538814499513242_1680347535359927","avdullah.hoti","2017-10-12 15:57:29","9","9","0","0"
"538814499513242_1680539465340734","avdullah.hoti","2017-10-12 19:51:30","425","427","2","5"
"538814499513242_1681075435287137","avdullah.hoti","2017-10-13 10:52:49","100","101","1","5"
"538814499513242_1681265165268164","avdullah.hoti","2017-10-13 14:57:21","156","157","0","0"
"538814499513242_1681301415264539","avdullah.hoti","2017-10-13 15:38:18","929","936","25","11"
"538814499513242_1681435908584423","avdullah.hoti","2017-10-13 18:07:18","344","345","1","0"
"538814499513242_1681445325250148","avdullah.hoti","2017-10-13 18:16:57","331","332","0","1"
"538814499513242_1681487195245961","avdullah.hoti","2017-10-13 19:11:42","137","138","0","2"
"538814499513242_1681509568577057","avdullah.hoti","2017-10-13 19:43:45","105","106","2","0"
"538814499513242_1681583131903034","avdullah.hoti","2017-10-13 21:27:04","392","395","4","1"
"538814499513242_1681594458568568","avdullah.hoti","2017-10-13 21:42:44","190","192","0","8"
"538814499513242_1681676921893655","avdullah.hoti","2017-10-14 10:00:53","70","71","0","0"
"538814499513242_1682018101859537","avdullah.hoti","2017-10-14 09:01:33","136","137","0","0"
"538814499513242_1682429318485082","avdullah.hoti","2017-10-14 18:45:07","376","378","6","2"
"538814499513242_1682548865139794","avdullah.hoti","2017-10-14 21:39:23","375","376","2","13"
"538814499513242_1682557615138919","avdullah.hoti","2017-10-14 21:53:04","419","421","3","15"
"538814499513242_1682632601798087","avdullah.hoti","2017-10-15 11:00:41","125","126","0","0"
"538814499513242_1683024361758911","avdullah.hoti","2017-10-15 12:04:01","4","5","0","0"
"538814499513242_1683152778412736","avdullah.hoti","2017-10-15 14:19:33","79","80","0","0"
"538814499513242_1683295811731766","avdullah.hoti","2017-10-15 17:41:34","236","238","0","10"
"538814499513242_1683395301721817","avdullah.hoti","2017-10-15 19:52:07","198","199","0","0"
"538814499513242_1683396878388326","avdullah.hoti","2017-10-15 19:54:00","717","721","15","14"
"538814499513242_1683422688385745","avdullah.hoti","2017-10-15 20:29:32","126","127","0","5"
"538814499513242_1683441601717187","avdullah.hoti","2017-10-15 20:56:01","138","139","0","1"
"538814499513242_1683527508375263","avdullah.hoti","2017-10-15 22:43:53","318","319","2","3"
"538814499513242_1683556305039050","avdullah.hoti","2017-10-15 23:35:57","176","177","0","3"
"538814499513242_1683567651704582","avdullah.hoti","2017-10-15 23:56:20","48","49","0","0"
"538814499513242_1684037748324239","avdullah.hoti","2017-10-16 13:29:20","40","41","0","0"
"538814499513242_1684039121657435","avdullah.hoti","2017-10-16 13:31:41","699","701","4","5"
"538814499513242_1684045171656830","avdullah.hoti","2017-10-16 13:40:39","568","569","0","2"
"538814499513242_1684199671641380","avdullah.hoti","2017-10-16 17:00:19","188","190","2","1"
"538814499513242_1684233968304617","avdullah.hoti","2017-10-16 17:48:57","167","169","1","4"
"538814499513242_1684285144966166","avdullah.hoti","2017-10-16 19:04:53","58","59","0","6"
"538814499513242_1684288388299175","avdullah.hoti","2017-10-16 19:09:54","842","848","11","34"
"538814499513242_1684289081632439","avdullah.hoti","2017-10-16 19:11:16","151","152","0","3"
"538814499513242_1684311534963527","avdullah.hoti","2017-10-16 19:40:04","158","159","1","0"
"538814499513242_1684338951627452","avdullah.hoti","2017-10-16 20:19:45","99","100","1","0"
"538814499513242_1684340248293989","avdullah.hoti","2017-10-16 20:21:33","75","76","0","0"
"538814499513242_1684394251621922","avdullah.hoti","2017-10-16 21:38:36","319","321","5","1"
"538814499513242_1685082694886411","avdullah.hoti","2017-10-17 16:57:31","45","46","0","0"
"538814499513242_1685195834875097","avdullah.hoti","2017-10-17 19:37:35","477","479","2","12"
"538814499513242_1685198678208146","avdullah.hoti","2017-10-17 19:41:21","908","912","13","9"
"538814499513242_1685215554873125","avdullah.hoti","2017-10-17 20:02:40","198","199","1","6"
"538814499513242_1685227191538628","avdullah.hoti","2017-10-17 20:18:37","550","551","7","11"
"538814499513242_1685251921536155","avdullah.hoti","2017-10-17 20:53:55","574","576","2","7"
"538814499513242_1685281158199898","avdullah.hoti","2017-10-17 21:39:07","196","197","0","5"
"538814499513242_1685326161528731","avdullah.hoti","2017-10-17 22:58:10","130","131","0","1"
"538814499513242_1685733281488019","avdullah.hoti","2017-10-18 10:47:33","104","105","2","0"
"538814499513242_1685808068147207","avdullah.hoti","2017-10-18 13:02:53","333","334","7","0"
"538814499513242_1685926768135337","avdullah.hoti","2017-10-18 15:58:30","697","699","7","7"
"538814499513242_1685975298130484","avdullah.hoti","2017-10-18 16:58:40","1044","1046","9","5"
"538814499513242_1686006818127332","avdullah.hoti","2017-10-18 17:38:25","471","475","1","0"
"538814499513242_1686023014792379","avdullah.hoti","2017-10-18 18:02:25","67","68","1","0"
"538814499513242_1686032294791451","avdullah.hoti","2017-10-18 18:15:17","305","306","0","0"
"538814499513242_1686171671444180","avdullah.hoti","2017-10-18 21:03:05","203","204","0","5"
"538814499513242_1686302554764425","avdullah.hoti","2017-10-19 08:00:55","126","127","0","14"
"538814499513242_1686335178094496","avdullah.hoti","2017-10-19 09:00:27","117","118","0","2"
"538814499513242_1686337261427621","avdullah.hoti","2017-10-19 11:00:31","124","125","0","12"
"538814499513242_1686848318043182","avdullah.hoti","2017-10-19 16:03:43","97","98","0","0"
"538814499513242_1686854308042583","avdullah.hoti","2017-10-19 16:12:23","235","236","1","2"
"538814499513242_1686864044708276","avdullah.hoti","2017-10-19 16:25:24","98","100","1","13"
"538814499513242_1686898098038204","avdullah.hoti","2017-10-19 20:00:06","82","83","0","10"
"538814499513242_1686913004703380","avdullah.hoti","2017-10-19 17:18:49","999","1005","8","6"
"538814499513242_1686913628036651","avdullah.hoti","2017-10-19 17:19:52","2067","2288","775","387"
"538814499513242_1687069234687757","avdullah.hoti","2017-10-19 20:35:54","71","72","1","2"
"538814499513242_1687125244682156","avdullah.hoti","2017-10-19 21:52:33","353","354","5","16"
"538814499513242_1687197924674888","avdullah.hoti","2017-10-19 23:40:54","138","139","0","3"
"538814499513242_1687234318004582","avdullah.hoti","2017-10-20 00:37:20","722","725","7","13"
"538814499513242_1687237721337575","avdullah.hoti","2017-10-20 00:44:19","301","302","3","9"
"538814499513242_1687242421337105","avdullah.hoti","2017-10-20 00:51:21","159","160","2","0"
"538814499513242_1687243688003645","avdullah.hoti","2017-10-20 00:53:19","207","208","1","1"
"538814499513242_1687819944612686","avdullah.hoti","2017-10-20 13:15:56","571","577","7","8"
"538814499513242_1688096377918376","avdullah.hoti","2017-10-20 19:01:46","590","596","22","7"
"538814499513242_1688140037914010","avdullah.hoti","2017-10-20 20:05:48","118","119","0","2"
"538814499513242_1688142521247095","avdullah.hoti","2017-10-20 20:08:34","317","319","3","2"
"538814499513242_1688145057913508","avdullah.hoti","2017-10-20 20:12:02","190","194","12","18"
"538814499513242_1688166874577993","avdullah.hoti","2017-10-20 20:28:49","626","628","6","7"
"538814499513242_1688268517901162","avdullah.hoti","2017-10-20 22:50:39","398","402","4","4"
"538814499513242_1688272004567480","avdullah.hoti","2017-10-20 22:53:52","515","518","5","6"
"538814499513242_1688286217899392","avdullah.hoti","2017-10-20 23:16:32","291","292","1","8"
"538814499513242_1689063437821670","avdullah.hoti","2017-10-21 21:01:08","687","689","11","3"
"538814499513242_1689974844397196","avdullah.hoti","2017-10-22 20:39:01","2544","2585","205","26"
"538814499513242_1690023994392281","avdullah.hoti","2017-10-22 21:55:13","784","800","13","2"
"538814499513242_1690797180981629","avdullah.hoti","2017-10-23 19:27:27","683","697","15","13"
"538814499513242_1690840197643994","avdullah.hoti","2017-10-23 19:55:06","192","193","2","0"
