"drkid","EmriKoalicionit","Data","nrLike","nrReaction","nrKomente","nrShare","nrPosteve"
"160","LDK-AKR-ALT","2017-05-04","1017","1030","19","26","10"
"161","PDK-AAK-NISMA","2017-05-04","1010","1015","8","42","8"
"162","VV","2017-05-04","1354","1358","17","54","3"
"163","LDK-AKR-ALT","2017-05-03","2461","2482","14","23","12"
"164","PDK-AAK-NISMA","2017-05-03","1073","1081","17","85","2"
"165","VV","2017-05-03","360","363","2","14","1"
"166","LDK-AKR-ALT","2017-05-02","2438","2457","44","38","5"
"167","PDK-AAK-NISMA","2017-05-02","405","405","7","36","3"
"168","VV","2017-05-02","1112","1116","34","77","2"
"169","LDK-AKR-ALT","2017-06-02","2872","2884","30","29","22"
"170","PDK-AAK-NISMA","2017-06-02","1523","1533","17","27","18"
"171","VV","2017-06-02","11286","12609","4859","595","7"
"355","PDK-AAK-NISMA","2017-06-05","2482","2498","26","29","19"
"356","LDK-AKR-ALT","2017-06-05","4491","4522","104","126","43"
"357","VV","2017-06-05","9229","10164","4184","496","6"
"358","PDK-AAK-NISMA","2017-06-04","1738","1756","26","17","17"
"359","LDK-AKR-ALT","2017-06-04","3618","3642","53","61","25"
"360","VV","2017-06-04","17550","19237","5987","1874","9"
"361","LDK-AKR-ALT","2017-06-03","3954","3967","51","68","27"
"362","PDK-AAK-NISMA","2017-06-03","2929","2975","51","308","29"
"363","VV","2017-06-03","8340","9459","5204","627","5"
"541","LDK-AKR-ALT","2017-06-09","4645","4674","64","109","21"
"542","PDK-AAK-NISMA","2017-06-09","5619","5666","62","157","29"
"543","VV","2017-06-09","43303","50399","18543","7070","12"
"544","LDK-AKR-ALT","2017-06-08","4220","4255","163","115","30"
"545","PDK-AAK-NISMA","2017-06-08","2230","2247","36","47","16"
"546","VV","2017-06-08","23148","26063","9061","3259","13"
"547","LDK-AKR-ALT","2017-06-07","7025","7090","146","214","28"
"548","PDK-AAK-NISMA","2017-06-07","6081","6206","329","197","15"
"549","VV","2017-06-07","11376","12945","4805","859","7"
"550","LDK-AKR-ALT","2017-06-06","6590","6670","160","666","32"
"551","PDK-AAK-NISMA","2017-06-06","6598","6628","76","140","35"
"552","VV","2017-06-06","8725","9242","1273","240","7"
"634","VV","2017-06-13","7420","9235","2883","437","2"
"635","PDK-AAK-NISMA","2017-06-13","0","0","0","0","0"
"636","LDK-AKR-ALT","2017-06-13","0","0","0","0","0"
"637","LDK-AKR-ALT","2017-06-12","1478","1489","66","8","6"
"638","PDK-AAK-NISMA","2017-06-12","85","85","1","1","3"
"639","VV","2017-06-12","2029","2084","37","14","3"
"640","LDK-AKR-ALT","2017-06-11","78","80","0","0","2"
"641","PDK-AAK-NISMA","2017-06-11","3014","3136","1211","70","12"
"642","VV","2017-06-11","40681","47779","14969","1843","9"
"643","LDK-AKR-ALT","2017-06-10","326","328","21","23","1"
"644","VV","2017-06-10","10823","11292","284","673","1"
"645","PDK-AAK-NISMA","2017-06-10","0","0","0","0","0"
"646","LDK-AKR-ALT","2017-10-18","2234","2263","46","202","11"
"647","PDK-AAK-NISMA","2017-10-18","4556","4591","86","192","10"
"648","VV","2017-10-18","7889","8983","2064","514","10"
"649","LDK-AKR-ALT","2017-10-17","3468","3649","1081","354","13"
"650","PDK-AAK-NISMA","2017-10-17","5944","5989","84","128","20"
"651","VV","2017-10-17","6322","7040","1842","535","9"
"652","LDK-AKR-ALT","2017-10-16","3794","3903","567","325","16"
"653","PDK-AAK-NISMA","2017-10-16","9356","9490","449","139","17"
"654","VV","2017-10-16","7296","8280","2771","494","11"
"655","LDK-AKR-ALT","2017-10-15","1898","1999","624","156","6"
"656","PDK-AAK-NISMA","2017-10-15","3452","3471","55","66","12"
"657","VV","2017-10-15","5414","6114","1787","361","8"
"658","LDK-AKR-ALT","2017-10-14","2358","2439","502","134","9"
"659","PDK-AAK-NISMA","2017-10-14","4342","4409","174","113","9"
"660","VV","2017-10-14","5634","6331","2092","374","9"
"661","LDK-AKR-ALT","2017-10-13","880","884","20","10","8"
"662","PDK-AAK-NISMA","2017-10-13","4548","4605","66","247","11"
"663","VV","2017-10-13","8329","8716","503","729","9"
"664","LDK-AKR-ALT","2017-10-12","1759","1801","194","52","15"
"665","PDK-AAK-NISMA","2017-10-12","4025","4068","82","236","9"
"666","VV","2017-10-12","2313","2431","233","160","7"
"667","LDK-AKR-ALT","2017-10-11","1792","1812","28","172","15"
"668","PDK-AAK-NISMA","2017-10-11","2271","2284","20","58","10"
"669","VV","2017-10-11","3557","3722","343","237","9"
