"EmriKandidatit","Data","NrLike","NrReaction","NrKomenteve","NrShare","nrPosteve","Partia","Komuna"
"Agron.Avdijaj10","2017-10-25","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Istog"
"AgimAliuPDK94","2017-10-25","0","0","0","0","0","PDK","Ferizaj"
"RexhepKadriu.rks","2017-10-25","0","0","0","0","0","AAK","Gjilan"
"selimpacolliofficial","2017-10-25","0","0","0","0","0","AKR","Prishtina"
"safetkamberipermitrovicen","2017-10-25","0","0","0","0","0","LDK","Mitrovica"
"SelatinRetkoceriVV","2017-10-25","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Lipjan"
"gazmuhaxheri","2017-10-25","0","0","0","0","0","LDK","Peja"
"RamadanHotii","2017-10-25","0","0","0","0","0","PDK","Gjakova"
"SmajlLatifi50","2017-10-25","0","0","0","0","0","AAK","Rahovec"
"ProfDrBeqirSadikaj","2017-10-25","0","0","0","0","0","PDK","Istog"
"KTAP.KOSOVA","2017-10-25","0","0","0","0","0","KTAP","Mamusha"
"BesimIlaziPDK","2017-10-25","0","0","0","0","0","PDK","KaÃ§anik"
"491857897815166","2017-10-25","0","0","0","0","0","PDK","PodujevÃ«"
"XhaferGashiPerObiliq","2017-10-25","0","0","0","0","0","AAK","Obiliq"
"505468136208097","2017-10-25","0","0","0","0","0","LDK","Istog"
"sokolihaliti.official","2017-10-25","0","0","0","0","0","LDK","Viti"
"DrHatimBaxhaku","2017-10-25","0","0","0","0","0","LDK","Prizren"
"QendronKastrati10","2017-10-25","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Kamenica"
"533546846720711","2017-10-25","0","0","0","0","0","NISMA","MalishevÃ«"
"HajrushKurtajOfficial","2017-10-25","0","0","0","0","0","AAK","KaÃ§anik"
"548957518774900","2017-10-25","0","0","0","0","0","PDK","FushÃ« KosovÃ«"
"pdknaimismajli","2017-10-25","0","0","0","0","0","PDK","Shtime"
"ldkjunikfaqjazyrtare","2017-10-25","0","0","0","0","0","LDK","Junik"
"bnurboja","2017-10-25","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Peja"
"ZenunPajazitiOfficial","2017-10-25","0","0","0","0","0","PDK","Gjilan"
"IsmetHajrullahuPDK","2017-10-25","0","0","0","0","0","PDK","Lipjan"
