"dkid","EmriKandidatit","Data","nrLike","nrReaction","nrKomente","nrShare","nrPosteve"
"163","avdullah.hoti","2017-05-03","1348","1362","20","9","3"
"164","RamushHaradinajOfficial","2017-05-03","0","0","0","0","0"
"165","albini2017","2017-05-03","0","0","0","0","0"
"166","avdullah.hoti","2017-05-02","57","57","0","0","1"
"167","RamushHaradinajOfficial","2017-05-02","1672","1683","23","14","1"
"168","albini2017","2017-05-02","0","0","0","0","0"
"169","albini2017","2017-06-02","14339","14690","333","504","6"
"170","avdullah.hoti","2017-06-02","11165","11509","1995","373","14"
"171","RamushHaradinajOfficial","2017-06-02","4483","4606","510","154","6"
"355","RamushHaradinajOfficial","2017-06-05","2409","2446","30","87","4"
"356","albini2017","2017-06-05","14939","15597","299","521","6"
"357","avdullah.hoti","2017-06-05","22794","23113","1403","1005","15"
"358","RamushHaradinajOfficial","2017-06-04","13617","13814","796","239","6"
"359","albini2017","2017-06-04","16305","16783","484","1308","5"
"360","avdullah.hoti","2017-06-04","14150","14578","2637","686","8"
"361","albini2017","2017-06-03","10530","10789","256","543","5"
"362","avdullah.hoti","2017-06-03","20400","20682","1705","655","17"
"363","RamushHaradinajOfficial","2017-06-03","15643","16061","2130","555","6"
"541","RamushHaradinajOfficial","2017-06-09","10236","10605","2066","830","6"
"542","albini2017","2017-06-09","11556","11932","305","649","3"
"543","avdullah.hoti","2017-06-09","36555","37217","3228","1041","15"
"544","RamushHaradinajOfficial","2017-06-08","12652","12968","1057","733","11"
"545","albini2017","2017-06-08","13520","14030","374","931","5"
"546","avdullah.hoti","2017-06-08","30165","30578","1848","1125","24"
"547","RamushHaradinajOfficial","2017-06-07","7449","7790","1667","365","6"
"548","albini2017","2017-06-07","12462","12985","240","657","4"
"549","avdullah.hoti","2017-06-07","18798","19218","2538","587","21"
"550","RamushHaradinajOfficial","2017-06-06","5592","5657","85","274","5"
"551","albini2017","2017-06-06","7749","7942","241","455","3"
"552","avdullah.hoti","2017-06-06","20301","20682","1957","1171","15"
"634","albini2017","2017-06-13","6589","6809","220","264","2"
"635","RamushHaradinajOfficial","2017-06-13","0","0","0","0","0"
"636","avdullah.hoti","2017-06-13","0","0","0","0","0"
"637","albini2017","2017-06-12","13340","13946","398","323","1"
"638","avdullah.hoti","2017-06-12","3181","3217","213","37","2"
"639","RamushHaradinajOfficial","2017-06-12","0","0","0","0","0"
"640","albini2017","2017-06-11","17053","18289","874","713","3"
"641","avdullah.hoti","2017-06-11","4720","4767","168","35","2"
"642","RamushHaradinajOfficial","2017-06-11","21980","22242","627","399","5"
"643","albini2017","2017-06-10","21687","22727","625","1133","3"
"644","avdullah.hoti","2017-06-10","279","281","5","0","1"
"645","RamushHaradinajOfficial","2017-06-10","0","0","0","0","0"
"646","albini2017","2017-10-18","1829","1921","35","39","2"
"647","avdullah.hoti","2017-10-18","3224","3237","27","17","8"
"648","RamushHaradinajOfficial","2017-10-18","1756","1770","31","26","3"
"649","albini2017","2017-10-17","1720","1794","40","52","2"
"650","avdullah.hoti","2017-10-17","3078","3091","25","51","8"
"651","RamushHaradinajOfficial","2017-10-17","1730","1743","23","35","2"
"652","albini2017","2017-10-16","497","516","3","12","1"
"653","avdullah.hoti","2017-10-16","3364","3385","25","56","12"
"654","RamushHaradinajOfficial","2017-10-16","6208","6251","111","79","4"
"655","albini2017","2017-10-15","1449","1506","34","87","1"
"656","avdullah.hoti","2017-10-15","2165","2180","17","36","11"
"657","RamushHaradinajOfficial","2017-10-15","1215","1219","18","19","2"
"658","albini2017","2017-10-14","702","721","4","11","1"
"659","avdullah.hoti","2017-10-14","1376","1383","11","30","5"
"660","RamushHaradinajOfficial","2017-10-14","3853","3872","57","46","5"
"661","albini2017","2017-10-13","5250","5493","336","624","3"
"662","avdullah.hoti","2017-10-13","2684","2702","33","28","9"
"663","RamushHaradinajOfficial","2017-10-13","1332","1343","19","13","2"
"664","albini2017","2017-10-12","7652","7968","235","358","2"
"665","avdullah.hoti","2017-10-12","740","745","2","11","5"
"666","RamushHaradinajOfficial","2017-10-12","2587","2602","23","46","3"
"667","albini2017","2017-10-11","979","1030","30","35","1"
"668","avdullah.hoti","2017-10-11","1494","1505","23","38","9"
"669","RamushHaradinajOfficial","2017-10-11","3632","3659","19","39","3"
"670","albini2017","2017-10-10","3492","3663","96","156","3"
"671","avdullah.hoti","2017-10-10","1787","1800","17","38","14"
"672","RamushHaradinajOfficial","2017-10-10","940","943","14","11","2"
"673","avdullah.hoti","2017-10-09","1327","1335","10","13","7"
"674","RamushHaradinajOfficial","2017-10-09","5504","5536","99","95","4"
"675","albini2017","2017-10-09","0","0","0","0","0"
"676","albini2017","2017-10-08","2349","2456","71","181","2"
"677","avdullah.hoti","2017-10-08","1949","1959","21","27","8"
"678","RamushHaradinajOfficial","2017-10-08","0","0","0","0","0"
"679","albini2017","2017-10-07","2761","2871","66","108","2"
"680","avdullah.hoti","2017-10-07","1651","1666","33","24","8"
"681","RamushHaradinajOfficial","2017-10-07","1177","1184","30","21","1"
"682","albini2017","2017-10-06","1131","1196","31","79","1"
"683","avdullah.hoti","2017-10-06","777","782","5","20","5"
"684","RamushHaradinajOfficial","2017-10-06","1989","2004","24","17","3"
"685","albini2017","2017-10-05","1289","1319","14","49","2"
"686","avdullah.hoti","2017-10-05","1357","1358","1","20","5"
"687","RamushHaradinajOfficial","2017-10-05","537","539","3","7","1"
"688","avdullah.hoti","2017-10-04","2657","2666","22","49","5"
"689","RamushHaradinajOfficial","2017-10-04","2398","2423","50","59","3"
"690","albini2017","2017-10-04","0","0","0","0","0"
"691","albini2017","2017-10-03","1460","1511","60","138","1"
"692","avdullah.hoti","2017-10-03","1600","1605","32","28","8"
"693","RamushHaradinajOfficial","2017-10-03","0","0","0","0","0"
"694","albini2017","2017-10-02","2127","2235","23","52","2"
"695","avdullah.hoti","2017-10-02","963","965","6","8","5"
"696","RamushHaradinajOfficial","2017-10-02","5109","5225","86","78","6"
"697","albini2017","2017-10-01","5391","5557","71","319","2"
"698","avdullah.hoti","2017-10-01","2012","2015","10","29","11"
"699","RamushHaradinajOfficial","2017-10-01","0","0","0","0","0"
"700","avdullah.hoti","2017-09-30","3377","3386","34","71","13"
"701","RamushHaradinajOfficial","2017-09-30","0","0","0","0","0"
"702","albini2017","2017-09-30","0","0","0","0","0"
"703","albini2017","2017-09-29","2574","2665","93","116","2"
"704","avdullah.hoti","2017-09-29","1514","1516","14","24","8"
"705","RamushHaradinajOfficial","2017-09-29","5769","5826","265","59","5"
"706","albini2017","2017-09-28","2853","2981","117","175","2"
"707","avdullah.hoti","2017-09-28","4868","4886","41","93","18"
"708","RamushHaradinajOfficial","2017-09-28","0","0","0","0","0"
"709","albini2017","2017-09-27","802","831","14","36","1"
"710","avdullah.hoti","2017-09-27","618","621","2","37","4"
"711","RamushHaradinajOfficial","2017-09-27","5288","5368","107","49","2"
"712","albini2017","2017-09-26","3800","3936","88","170","3"
"713","avdullah.hoti","2017-09-26","1767","1775","7","62","7"
"714","RamushHaradinajOfficial","2017-09-26","636","637","13","8","1"
"715","albini2017","2017-09-25","0","0","0","0","0"
"716","avdullah.hoti","2017-09-25","0","0","0","0","0"
"717","RamushHaradinajOfficial","2017-09-25","0","0","0","0","0"
"718","albini2017","2017-09-24","2739","2836","75","113","2"
"719","avdullah.hoti","2017-09-24","4418","4430","58","63","11"
"720","RamushHaradinajOfficial","2017-09-24","2860","2880","91","153","2"
"721","avdullah.hoti","2017-09-23","814","818","4","7","3"
"722","RamushHaradinajOfficial","2017-09-23","2881","2899","41","39","1"
"723","albini2017","2017-09-23","0","0","0","0","0"
"724","albini2017","2017-09-22","3906","4101","163","337","2"
"725","avdullah.hoti","2017-09-22","3080","3091","55","22","9"
"726","RamushHaradinajOfficial","2017-09-22","0","0","0","0","0"
"727","albini2017","2017-09-21","5193","5361","82","190","3"
"728","avdullah.hoti","2017-09-21","4220","4236","50","54","7"
"729","RamushHaradinajOfficial","2017-09-21","1426","1435","36","36","1"
"730","avdullah.hoti","2017-09-20","1198","1208","28","23","6"
"731","RamushHaradinajOfficial","2017-09-20","0","0","0","0","0"
"732","albini2017","2017-09-20","0","0","0","0","0"
"733","albini2017","2017-09-19","2253","2301","107","295","1"
"734","avdullah.hoti","2017-09-19","2454","2467","23","42","9"
"735","RamushHaradinajOfficial","2017-09-19","0","0","0","0","0"
"736","RamushHaradinajOfficial","2017-09-18","0","0","0","0","0"
"737","albini2017","2017-09-18","0","0","0","0","0"
"738","avdullah.hoti","2017-09-18","0","0","0","0","0"
"739","albini2017","2017-10-19","2419","2535","59","144","3"
"740","avdullah.hoti","2017-10-19","4507","4745","791","467","12"
"741","RamushHaradinajOfficial","2017-10-19","5629","5702","52","76","6"
"742","albini2017","2017-10-23","2907","3061","224","147","1"
"743","avdullah.hoti","2017-10-23","875","890","17","13","2"
"744","RamushHaradinajOfficial","2017-10-23","4183","4205","19","29","3"
"745","albini2017","2017-10-22","4101","4314","136","136","2"
"746","avdullah.hoti","2017-10-22","3328","3385","218","28","2"
"747","RamushHaradinajOfficial","2017-10-22","1726","1738","24","29","1"
"748","avdullah.hoti","2017-10-21","687","689","11","3","1"
"749","RamushHaradinajOfficial","2017-10-21","8534","8675","357","140","1"
