"dkid","EmriKandidatit","Data","nrLike","nrReaction","nrKomente","nrShare","nrPosteve"
"","fatmirlimaj","2017-05-16","0","0","0","0","0"
"","mimozakusari","2017-05-16","0","0","0","0","0"
"","HashimThaciOfficial","2017-05-16","0","0","0","0","0"
"","DardanMolliqaj8","2017-05-16","0","0","0","0","0"
"","avdullah.hoti","2017-05-15","6471","6531","69","267","15"
"","fatmirlimaj","2017-05-15","3312","3342","36","140","9"
"","HashimThaciOfficial","2017-05-15","1654","1664","26","16","2"
"","IsaMustafaKS","2017-05-15","10251","10482","726","113","9"
"","kadriveseliofficial","2017-05-15","32355","32556","819","465","9"
"","mimozakusari","2017-05-15","3484","3526","96","33","6"
"","RamushHaradinajOfficial","2017-05-15","0","0","0","0","0"
"","albini2017","2017-05-15","0","0","0","0","0"
"","behgjeti","2017-05-15","0","0","0","0","0"
"","DardanMolliqaj8","2017-05-15","0","0","0","0","0"
"","avdullah.hoti","2017-05-14","2439","2445","54","72","6"
"","behgjeti","2017-05-14","40173","40920","1527","555","9"
"","fatmirlimaj","2017-05-14","2680","2875","342","21","3"
"","HashimThaciOfficial","2017-05-14","2629","2713","126","28","2"
"","IsaMustafaKS","2017-05-14","6783","6846","174","171","3"
"","kadriveseliofficial","2017-05-14","35385","35617","1485","785","12"
"","RamushHaradinajOfficial","2017-05-14","23046","23292","555","321","6"
"","albini2017","2017-05-14","0","0","0","0","0"
"","mimozakusari","2017-05-14","0","0","0","0","0"
"","DardanMolliqaj8","2017-05-14","0","0","0","0","0"
"","avdullah.hoti","2017-05-13","12750","12771","270","200","27"
"","behgjeti","2017-05-13","45103","45454","909","326","12"
"","fatmirlimaj","2017-05-13","3549","3642","441","165","6"
"","HashimThaciOfficial","2017-05-13","4205","4325","218","12","2"
"","IsaMustafaKS","2017-05-13","4198","4255","183","102","6"
"","kadriveseliofficial","2017-05-13","7092","7329","702","81","3"
"","mimozakusari","2017-05-13","2452","2506","30","6","6"
"","RamushHaradinajOfficial","2017-05-13","6840","6903","201","42","3"
"","albini2017","2017-05-13","0","0","0","0","0"
"","DardanMolliqaj8","2017-05-13","0","0","0","0","0"
"","avdullah.hoti","2017-05-12","2672","2672","39","180","9"
"","behgjeti","2017-05-12","9819","10158","1209","191","6"
"","HashimThaciOfficial","2017-05-12","2468","2510","94","30","2"
"","IsaMustafaKS","2017-05-12","7475","7571","627","213","6"
"","kadriveseliofficial","2017-05-12","32334","32667","1644","451","9"
"","mimozakusari","2017-05-12","1683","1701","0","3","3"
"","RamushHaradinajOfficial","2017-05-12","0","0","0","0","0"
"","albini2017","2017-05-12","0","0","0","0","0"
"","fatmirlimaj","2017-05-12","0","0","0","0","0"
"","DardanMolliqaj8","2017-05-12","0","0","0","0","0"
"","avdullah.hoti","2017-05-11","7943","7976","315","450","21"
"","behgjeti","2017-05-11","42269","42716","1695","912","12"
"","fatmirlimaj","2017-05-11","2139","2145","18","81","3"
"","HashimThaciOfficial","2017-05-11","5891","5929","160","84","4"
"","IsaMustafaKS","2017-05-11","3289","3439","795","75","3"
"","kadriveseliofficial","2017-05-11","30385","30907","1884","330","9"
"","mimozakusari","2017-05-11","1047","1065","27","0","6"
"","RamushHaradinajOfficial","2017-05-11","0","0","0","0","0"
"","albini2017","2017-05-11","0","0","0","0","0"
"","DardanMolliqaj8","2017-05-11","0","0","0","0","0"
"","avdullah.hoti","2017-05-10","10212","10284","396","472","21"
"","behgjeti","2017-05-10","56457","56895","1869","1086","3"
"","fatmirlimaj","2017-05-10","2334","2460","495","197","3"
"","IsaMustafaKS","2017-05-10","10827","11478","2820","425","6"
"","kadriveseliofficial","2017-05-10","28861","31045","10255","3923","3"
"","mimozakusari","2017-05-10","3014","3026","90","3","9"
"","RamushHaradinajOfficial","2017-05-10","8592","8736","447","707","3"
"","albini2017","2017-05-10","0","0","0","0","0"
"","HashimThaciOfficial","2017-05-10","0","0","0","0","0"
"","DardanMolliqaj8","2017-05-10","0","0","0","0","0"
"","behgjeti","2017-05-09","5719","5755","171","39","3"
"","fatmirlimaj","2017-05-09","2544","2547","66","90","3"
"","kadriveseliofficial","2017-05-09","25737","26427","1596","246","6"
"","mimozakusari","2017-05-09","4026","4068","87","12","15"
"","RamushHaradinajOfficial","2017-05-09","0","0","0","0","0"
"","albini2017","2017-05-09","0","0","0","0","0"
"","avdullah.hoti","2017-05-09","0","0","0","0","0"
"","IsaMustafaKS","2017-05-09","0","0","0","0","0"
"","HashimThaciOfficial","2017-05-09","0","0","0","0","0"
"","DardanMolliqaj8","2017-05-09","0","0","0","0","0"
"","avdullah.hoti","2017-05-08","1932","1944","75","105","6"
"","behgjeti","2017-05-08","16540","16654","276","144","3"
"","IsaMustafaKS","2017-05-08","7419","7539","708","228","9"
"","kadriveseliofficial","2017-05-08","12379","12517","975","255","3"
"","mimozakusari","2017-05-08","1726","1729","57","9","3"
"","RamushHaradinajOfficial","2017-05-08","18234","18429","333","861","3"
"","albini2017","2017-05-08","0","0","0","0","0"
"","fatmirlimaj","2017-05-08","0","0","0","0","0"
"","HashimThaciOfficial","2017-05-08","0","0","0","0","0"
"","DardanMolliqaj8","2017-05-08","0","0","0","0","0"
"","avdullah.hoti","2017-05-07","5232","5250","153","80","12"
"","behgjeti","2017-05-07","11192","11351","330","150","6"
"","HashimThaciOfficial","2017-05-07","4150","4184","72","8","2"
"","IsaMustafaKS","2017-05-07","6153","6201","285","96","6"
"","kadriveseliofficial","2017-05-07","9396","9504","321","96","3"
"","mimozakusari","2017-05-07","1368","1527","168","21","3"
"","RamushHaradinajOfficial","2017-05-07","0","0","0","0","0"
"","albini2017","2017-05-07","0","0","0","0","0"
"","fatmirlimaj","2017-05-07","0","0","0","0","0"
"","DardanMolliqaj8","2017-05-07","0","0","0","0","0"
"","avdullah.hoti","2017-05-06","5229","5286","189","105","9"
"","fatmirlimaj","2017-05-06","1452","1468","66","39","3"
"","IsaMustafaKS","2017-05-06","9921","10173","1326","416","6"
"","kadriveseliofficial","2017-05-06","10590","10671","198","63","3"
"","mimozakusari","2017-05-06","441","441","33","0","3"
"","RamushHaradinajOfficial","2017-05-06","0","0","0","0","0"
"","albini2017","2017-05-06","0","0","0","0","0"
"","behgjeti","2017-05-06","0","0","0","0","0"
"","HashimThaciOfficial","2017-05-06","0","0","0","0","0"
"","DardanMolliqaj8","2017-05-06","0","0","0","0","0"
"","avdullah.hoti","2017-05-05","2778","2784","75","141","9"
"","behgjeti","2017-05-05","10160","10280","216","225","9"
"","fatmirlimaj","2017-05-05","1812","1929","555","155","6"
"","IsaMustafaKS","2017-05-05","10977","11151","876","279","6"
"","kadriveseliofficial","2017-05-05","4871","4907","42","63","3"
"","RamushHaradinajOfficial","2017-05-05","7314","7389","135","165","3"
"","albini2017","2017-05-05","0","0","0","0","0"
"","mimozakusari","2017-05-05","0","0","0","0","0"
"","HashimThaciOfficial","2017-05-05","0","0","0","0","0"
"","DardanMolliqaj8","2017-05-05","0","0","0","0","0"
"","avdullah.hoti","2017-05-04","1896","1896","6","39","9"
"","behgjeti","2017-05-04","6507","6759","606","177","6"
"","fatmirlimaj","2017-05-04","1071","1074","24","36","6"
"","kadriveseliofficial","2017-05-04","4902","4938","210","159","3"
"","RamushHaradinajOfficial","2017-05-04","0","0","0","0","0"
"","albini2017","2017-05-04","0","0","0","0","0"
"","IsaMustafaKS","2017-05-04","0","0","0","0","0"
"","mimozakusari","2017-05-04","0","0","0","0","0"
"","HashimThaciOfficial","2017-05-04","0","0","0","0","0"
"","DardanMolliqaj8","2017-05-04","0","0","0","0","0"
"","avdullah.hoti","2017-05-03","2696","2724","40","18","6"
"","behgjeti","2017-05-03","5704","5938","544","146","4"
"","HashimThaciOfficial","2017-05-03","14410","14480","1035","61","2"
"","IsaMustafaKS","2017-05-03","1740","1752","82","20","4"
"","kadriveseliofficial","2017-05-03","1286","1292","24","22","2"
"","mimozakusari","2017-05-03","880","888","14","6","2"
"","RamushHaradinajOfficial","2017-05-03","0","0","0","0","0"
"","albini2017","2017-05-03","0","0","0","0","0"
"","fatmirlimaj","2017-05-03","0","0","0","0","0"
"","DardanMolliqaj8","2017-05-03","0","0","0","0","0"
"","RamushHaradinajOfficial","2017-06-05","0","0","0","0","0"
"","albini2017","2017-06-05","0","0","0","0","0"
"","avdullah.hoti","2017-06-05","0","0","0","0","0"
"","kadriveseliofficial","2017-06-05","0","0","0","0","0"
"","fatmirlimaj","2017-06-05","0","0","0","0","0"
"","behgjeti","2017-06-05","0","0","0","0","0"
"","IsaMustafaKS","2017-06-05","0","0","0","0","0"
"","mimozakusari","2017-06-05","0","0","0","0","0"
"","HashimThaciOfficial","2017-06-05","0","0","0","0","0"
"","DardanMolliqaj8","2017-06-05","0","0","0","0","0"
"","RamushHaradinajOfficial","2017-06-04","0","0","0","0","0"
"","albini2017","2017-06-04","0","0","0","0","0"
"","avdullah.hoti","2017-06-04","0","0","0","0","0"
"","kadriveseliofficial","2017-06-04","0","0","0","0","0"
"","fatmirlimaj","2017-06-04","0","0","0","0","0"
"","behgjeti","2017-06-04","0","0","0","0","0"
"","IsaMustafaKS","2017-06-04","0","0","0","0","0"
"","mimozakusari","2017-06-04","0","0","0","0","0"
"","HashimThaciOfficial","2017-06-04","0","0","0","0","0"
"","DardanMolliqaj8","2017-06-04","0","0","0","0","0"
"","albini2017","2017-06-03","597","603","10","12","1"
"","avdullah.hoti","2017-06-03","5702","5801","716","187","9"
"","behgjeti","2017-06-03","785","792","21","14","4"
"","fatmirlimaj","2017-06-03","212","229","73","22","1"
"","kadriveseliofficial","2017-06-03","3333","4754","985","88","5"
"","RamushHaradinajOfficial","2017-06-03","1621","1787","1042","110","2"
"","IsaMustafaKS","2017-06-03","0","0","0","0","0"
"","mimozakusari","2017-06-03","0","0","0","0","0"
"","HashimThaciOfficial","2017-06-03","0","0","0","0","0"
"","DardanMolliqaj8","2017-06-03","0","0","0","0","0"
"","albini2017","2017-06-02","12000","12271","283","395","6"
"","avdullah.hoti","2017-06-02","9496","9724","1288","270","13"
"","behgjeti","2017-06-02","7663","7727","156","112","9"
"","DardanMolliqaj8","2017-06-02","3917","3973","123","56","1"
"","fatmirlimaj","2017-06-02","2422","2470","259","192","6"
"","HashimThaciOfficial","2017-06-02","4657","4680","53","34","3"
"","kadriveseliofficial","2017-06-02","14697","14919","1313","339","7"
"","mimozakusari","2017-06-02","222","224","8","0","2"
"","RamushHaradinajOfficial","2017-06-02","3958","4069","490","153","6"
"","IsaMustafaKS","2017-06-02","0","0","0","0","0"
"","albini2017","2017-06-01","23987","24701","404","1157","13"
"","avdullah.hoti","2017-06-01","23546","24188","2756","874","19"
"","behgjeti","2017-06-01","15630","15902","1251","169","15"
"","DardanMolliqaj8","2017-06-01","18749","19488","2261","6147","2"
"","fatmirlimaj","2017-06-01","4072","4215","858","273","13"
"","HashimThaciOfficial","2017-06-01","17253","17364","360","286","7"
"","IsaMustafaKS","2017-06-01","3795","3814","81","101","5"
"","kadriveseliofficial","2017-06-01","39166","39629","1957","454","13"
"","mimozakusari","2017-06-01","2847","2864","49","8","14"
"","RamushHaradinajOfficial","2017-06-01","14216","14541","1591","568","19"
"","albini2017","2017-05-31","38283","39084","844","1225","12"
"","avdullah.hoti","2017-05-31","43683","44286","3186","1824","27"
"","behgjeti","2017-05-31","35208","35885","2432","426","18"
"","DardanMolliqaj8","2017-05-31","10726","11004","1520","317","4"
"","fatmirlimaj","2017-05-31","4532","4658","690","375","6"
"","HashimThaciOfficial","2017-05-31","2624","2647","72","23","2"
"","IsaMustafaKS","2017-05-31","9338","9396","119","174","15"
"","kadriveseliofficial","2017-05-31","43183","43973","2383","2075","15"
"","mimozakusari","2017-05-31","7725","7784","239","92","15"
"","RamushHaradinajOfficial","2017-05-31","50504","52080","4731","5032","18"
"","albini2017","2017-05-30","64919","66309","1326","3148","21"
"","avdullah.hoti","2017-05-30","21961","22254","2086","506","20"
"","behgjeti","2017-05-30","26645","26888","502","220","21"
"","fatmirlimaj","2017-05-30","2180","2267","592","156","6"
"","kadriveseliofficial","2017-05-30","54756","55267","1953","1136","15"
"","mimozakusari","2017-05-30","3828","3849","90","39","9"
"","RamushHaradinajOfficial","2017-05-30","57240","58652","4844","5205","18"
"","IsaMustafaKS","2017-05-30","0","0","0","0","0"
"","HashimThaciOfficial","2017-05-30","0","0","0","0","0"
"","DardanMolliqaj8","2017-05-30","0","0","0","0","0"
"","albini2017","2017-05-29","40026","40856","1699","3009","12"
"","avdullah.hoti","2017-05-29","42286","43085","4882","1219","39"
"","behgjeti","2017-05-29","19445","19593","540","269","15"
"","DardanMolliqaj8","2017-05-29","1377","1410","79","57","1"
"","fatmirlimaj","2017-05-29","8727","9057","1244","408","15"
"","kadriveseliofficial","2017-05-29","53927","55571","9891","1585","18"
"","mimozakusari","2017-05-29","7069","7123","91","18","21"
"","RamushHaradinajOfficial","2017-05-29","13962","14551","3024","970","15"
"","IsaMustafaKS","2017-05-29","0","0","0","0","0"
"","HashimThaciOfficial","2017-05-29","0","0","0","0","0"
"","albini2017","2017-05-28","41565","42549","995","2218","12"
"","avdullah.hoti","2017-05-28","38480","39232","4917","1471","24"
"","behgjeti","2017-05-28","107759","108835","6748","363","21"
"","DardanMolliqaj8","2017-05-28","2657","2699","50","46","2"
"","fatmirlimaj","2017-05-28","3950","4043","927","224","12"
"","kadriveseliofficial","2017-05-28","48117","48870","5574","1003","15"
"","mimozakusari","2017-05-28","300","306","6","3","3"
"","RamushHaradinajOfficial","2017-05-28","15107","15697","3227","474","9"
"","IsaMustafaKS","2017-05-28","0","0","0","0","0"
"","HashimThaciOfficial","2017-05-28","0","0","0","0","0"
"","albini2017","2017-05-27","60620","62051","1274","2631","15"
"","avdullah.hoti","2017-05-27","58567","59774","7000","1731","36"
"","behgjeti","2017-05-27","25004","25228","459","336","18"
"","DardanMolliqaj8","2017-05-27","3135","3172","90","62","2"
"","fatmirlimaj","2017-05-27","8470","8602","740","241","15"
"","IsaMustafaKS","2017-05-27","1643","1667","54","21","3"
"","kadriveseliofficial","2017-05-27","53481","54501","5812","1466","15"
"","mimozakusari","2017-05-27","3108","3123","63","3","9"
"","RamushHaradinajOfficial","2017-05-27","27927","28776","4203","756","12"
"","HashimThaciOfficial","2017-05-27","0","0","0","0","0"
"","albini2017","2017-05-26","55055","59076","14104","3855","15"
"","avdullah.hoti","2017-05-26","40184","40337","462","470","24"
"","behgjeti","2017-05-26","27102","27300","459","752","18"
"","DardanMolliqaj8","2017-05-26","5030","5091","164","91","3"
"","fatmirlimaj","2017-05-26","3447","3654","1974","258","9"
"","HashimThaciOfficial","2017-05-26","20305","20429","454","218","8"
"","IsaMustafaKS","2017-05-26","7735","7816","411","78","9"
"","kadriveseliofficial","2017-05-26","70646","71864","8292","1503","24"
"","mimozakusari","2017-05-26","3974","4004","33","27","12"
"","RamushHaradinajOfficial","2017-05-26","20156","20830","5133","597","15"
"","albini2017","2017-05-25","27927","28494","694","1569","15"
"","avdullah.hoti","2017-05-25","36910","37096","672","558","21"
"","behgjeti","2017-05-25","26229","26517","1383","838","18"
"","DardanMolliqaj8","2017-05-25","2788","3027","2042","247","3"
"","fatmirlimaj","2017-05-25","13902","14067","897","201","9"
"","kadriveseliofficial","2017-05-25","39792","40442","4425","869","15"
"","mimozakusari","2017-05-25","2418","2433","36","9","12"
"","RamushHaradinajOfficial","2017-05-25","19514","20319","4188","719","12"
"","IsaMustafaKS","2017-05-25","0","0","0","0","0"
"","HashimThaciOfficial","2017-05-25","0","0","0","0","0"
"","albini2017","2017-05-24","39481","40109","930","1982","12"
"","avdullah.hoti","2017-05-24","19602","19650","291","482","15"
"","behgjeti","2017-05-24","5355","5401","107","167","3"
"","DardanMolliqaj8","2017-05-24","1775","1792","35","35","2"
"","fatmirlimaj","2017-05-24","2127","2277","747","180","6"
"","IsaMustafaKS","2017-05-24","10031","10223","822","231","9"
"","kadriveseliofficial","2017-05-24","32735","33404","6699","491","15"
"","mimozakusari","2017-05-24","5900","5957","153","28","9"
"","RamushHaradinajOfficial","2017-05-24","20356","21055","2982","542","12"
"","HashimThaciOfficial","2017-05-24","0","0","0","0","0"
"","albini2017","2017-05-23","67538","69154","1122","3269","21"
"","avdullah.hoti","2017-05-23","8692","8791","42","138","9"
"","behgjeti","2017-05-23","23948","24227","330","251","3"
"","DardanMolliqaj8","2017-05-23","3797","3867","200","314","2"
"","fatmirlimaj","2017-05-23","2217","2400","1245","78","3"
"","IsaMustafaKS","2017-05-23","2393","2426","147","42","3"
"","kadriveseliofficial","2017-05-23","34387","34606","558","423","12"
"","mimozakusari","2017-05-23","1728","1959","69","18","9"
"","RamushHaradinajOfficial","2017-05-23","28871","29872","4146","1452","15"
"","HashimThaciOfficial","2017-05-23","0","0","0","0","0"
"","albini2017","2017-05-22","27578","28331","855","2206","9"
"","avdullah.hoti","2017-05-22","17673","17742","150","264","6"
"","behgjeti","2017-05-22","38059","38311","3288","153","6"
"","DardanMolliqaj8","2017-05-22","2521","2564","110","61","1"
"","HashimThaciOfficial","2017-05-22","6273","6375","154","76","4"
"","IsaMustafaKS","2017-05-22","2374","2392","60","24","3"
"","kadriveseliofficial","2017-05-22","33409","33671","717","636","15"
"","mimozakusari","2017-05-22","3219","3279","63","42","3"
"","RamushHaradinajOfficial","2017-05-22","13481","14224","5067","545","9"
"","fatmirlimaj","2017-05-22","0","0","0","0","0"
"","albini2017","2017-05-21","37111","37988","1230","3044","9"
"","avdullah.hoti","2017-05-21","78878","79395","1425","2214","12"
"","behgjeti","2017-05-21","4636","4690","171","120","3"
"","fatmirlimaj","2017-05-21","7061","7157","291","496","6"
"","IsaMustafaKS","2017-05-21","10089","10482","615","140","12"
"","kadriveseliofficial","2017-05-21","35061","35334","513","651","12"
"","mimozakusari","2017-05-21","10407","10467","135","30","6"
"","RamushHaradinajOfficial","2017-05-21","14121","15012","5100","648","6"
"","HashimThaciOfficial","2017-05-21","0","0","0","0","0"
"","DardanMolliqaj8","2017-05-21","0","0","0","0","0"
"","albini2017","2017-05-20","43375","44542","1104","1918","9"
"","avdullah.hoti","2017-05-20","12042","12111","189","183","9"
"","behgjeti","2017-05-20","21196","21457","612","344","6"
"","DardanMolliqaj8","2017-05-20","6011","6157","384","1846","4"
"","fatmirlimaj","2017-05-20","3801","3999","1599","426","6"
"","HashimThaciOfficial","2017-05-20","6895","6927","108","44","4"
"","IsaMustafaKS","2017-05-20","3415","3529","339","48","3"
"","kadriveseliofficial","2017-05-20","56773","57595","2398","1567","12"
"","mimozakusari","2017-05-20","3324","3330","42","18","12"
"","RamushHaradinajOfficial","2017-05-20","24348","24960","1305","665","12"
"","avdullah.hoti","2017-05-19","8181","8409","558","99","6"
"","behgjeti","2017-05-19","18552","18657","300","78","3"
"","DardanMolliqaj8","2017-05-19","2486","2542","175","331","1"
"","fatmirlimaj","2017-05-19","897","918","54","65","6"
"","HashimThaciOfficial","2017-05-19","1940","2008","38","4","2"
"","IsaMustafaKS","2017-05-19","1792","2068","378","45","3"
"","kadriveseliofficial","2017-05-19","2736","2802","54","9","3"
"","mimozakusari","2017-05-19","3396","3435","168","9","6"
"","RamushHaradinajOfficial","2017-05-19","0","0","0","0","0"
"","albini2017","2017-05-19","0","0","0","0","0"
"","avdullah.hoti","2017-05-18","24990","25155","522","685","6"
"","behgjeti","2017-05-18","17560","17875","894","294","6"
"","DardanMolliqaj8","2017-05-18","6560","6662","195","309","3"
"","fatmirlimaj","2017-05-18","3414","3549","576","853","6"
"","HashimThaciOfficial","2017-05-18","2449","2477","88","16","2"
"","IsaMustafaKS","2017-05-18","10361","10439","333","102","6"
"","kadriveseliofficial","2017-05-18","18492","18729","570","425","6"
"","mimozakusari","2017-05-18","312","312","24","0","3"
"","RamushHaradinajOfficial","2017-05-18","0","0","0","0","0"
"","albini2017","2017-05-18","0","0","0","0","0"
"","avdullah.hoti","2017-05-17","14763","14853","348","480","12"
"","behgjeti","2017-05-17","18301","18751","1677","132","6"
"","DardanMolliqaj8","2017-05-17","3737","3782","173","371","2"
"","fatmirlimaj","2017-05-17","1545","1623","675","171","3"
"","IsaMustafaKS","2017-05-17","19220","19451","843","377","9"
"","kadriveseliofficial","2017-05-17","29664","30126","2568","941","9"
"","mimozakusari","2017-05-17","4090","4114","63","15","9"
"","RamushHaradinajOfficial","2017-05-17","25122","26565","2928","738","3"
"","albini2017","2017-05-17","0","0","0","0","0"
"","HashimThaciOfficial","2017-05-17","0","0","0","0","0"
"","behgjeti","2017-05-16","29640","31092","6369","402","3"
"","IsaMustafaKS","2017-05-16","6396","6465","416","105","3"
"","kadriveseliofficial","2017-05-16","10722","10830","471","369","6"
"","RamushHaradinajOfficial","2017-05-16","0","0","0","0","0"
"","albini2017","2017-05-16","0","0","0","0","0"
"","avdullah.hoti","2017-05-16","0","0","0","0","0"
"","fatmirlimaj","2017-05-16","0","0","0","0","0"
"","mimozakusari","2017-05-16","0","0","0","0","0"
"","HashimThaciOfficial","2017-05-16","0","0","0","0","0"
"","DardanMolliqaj8","2017-05-16","0","0","0","0","0"
"","avdullah.hoti","2017-05-15","6471","6531","69","267","15"
"","fatmirlimaj","2017-05-15","3312","3342","36","140","9"
"","HashimThaciOfficial","2017-05-15","1654","1664","26","16","2"
"","IsaMustafaKS","2017-05-15","10251","10482","726","113","9"
"","kadriveseliofficial","2017-05-15","32355","32556","819","465","9"
"","mimozakusari","2017-05-15","3484","3526","96","33","6"
"","RamushHaradinajOfficial","2017-05-15","0","0","0","0","0"
"","albini2017","2017-05-15","0","0","0","0","0"
"","behgjeti","2017-05-15","0","0","0","0","0"
"","DardanMolliqaj8","2017-05-15","0","0","0","0","0"
"","avdullah.hoti","2017-05-14","2439","2445","54","72","6"
"","behgjeti","2017-05-14","40173","40920","1527","555","9"
"","fatmirlimaj","2017-05-14","2680","2875","342","21","3"
"","HashimThaciOfficial","2017-05-14","2629","2713","126","28","2"
"","IsaMustafaKS","2017-05-14","6783","6846","174","171","3"
"","kadriveseliofficial","2017-05-14","35385","35617","1485","785","12"
"","RamushHaradinajOfficial","2017-05-14","23046","23292","555","321","6"
"","albini2017","2017-05-14","0","0","0","0","0"
"","mimozakusari","2017-05-14","0","0","0","0","0"
"","DardanMolliqaj8","2017-05-14","0","0","0","0","0"
"","avdullah.hoti","2017-05-13","12750","12771","270","200","27"
"","behgjeti","2017-05-13","45103","45454","909","326","12"
"","fatmirlimaj","2017-05-13","3549","3642","441","165","6"
"","HashimThaciOfficial","2017-05-13","4205","4325","218","12","2"
"","IsaMustafaKS","2017-05-13","4198","4255","183","102","6"
"","kadriveseliofficial","2017-05-13","7092","7329","702","81","3"
"","mimozakusari","2017-05-13","2452","2506","30","6","6"
"","RamushHaradinajOfficial","2017-05-13","6840","6903","201","42","3"
"","albini2017","2017-05-13","0","0","0","0","0"
"","DardanMolliqaj8","2017-05-13","0","0","0","0","0"
"","avdullah.hoti","2017-05-12","2672","2672","39","180","9"
"","behgjeti","2017-05-12","9819","10158","1209","191","6"
"","HashimThaciOfficial","2017-05-12","2468","2510","94","30","2"
"","IsaMustafaKS","2017-05-12","7475","7571","627","213","6"
"","kadriveseliofficial","2017-05-12","32334","32667","1644","451","9"
"","mimozakusari","2017-05-12","1683","1701","0","3","3"
"","RamushHaradinajOfficial","2017-05-12","0","0","0","0","0"
"","albini2017","2017-05-12","0","0","0","0","0"
"","fatmirlimaj","2017-05-12","0","0","0","0","0"
"","DardanMolliqaj8","2017-05-12","0","0","0","0","0"
"","avdullah.hoti","2017-05-11","7943","7976","315","450","21"
"","behgjeti","2017-05-11","42269","42716","1695","912","12"
"","fatmirlimaj","2017-05-11","2139","2145","18","81","3"
"","HashimThaciOfficial","2017-05-11","5891","5929","160","84","4"
"","IsaMustafaKS","2017-05-11","3289","3439","795","75","3"
"","kadriveseliofficial","2017-05-11","30385","30907","1884","330","9"
"","mimozakusari","2017-05-11","1047","1065","27","0","6"
"","RamushHaradinajOfficial","2017-05-11","0","0","0","0","0"
"","albini2017","2017-05-11","0","0","0","0","0"
"","DardanMolliqaj8","2017-05-11","0","0","0","0","0"
"","avdullah.hoti","2017-05-10","10212","10284","396","472","21"
"","behgjeti","2017-05-10","56457","56895","1869","1086","3"
"","fatmirlimaj","2017-05-10","2334","2460","495","197","3"
"","IsaMustafaKS","2017-05-10","10827","11478","2820","425","6"
"","kadriveseliofficial","2017-05-10","28861","31045","10255","3923","3"
"","mimozakusari","2017-05-10","3014","3026","90","3","9"
"","RamushHaradinajOfficial","2017-05-10","8592","8736","447","707","3"
"","albini2017","2017-05-10","0","0","0","0","0"
"","HashimThaciOfficial","2017-05-10","0","0","0","0","0"
"","DardanMolliqaj8","2017-05-10","0","0","0","0","0"
"","behgjeti","2017-05-09","5719","5755","171","39","3"
"","fatmirlimaj","2017-05-09","2544","2547","66","90","3"
"","kadriveseliofficial","2017-05-09","25737","26427","1596","246","6"
"","mimozakusari","2017-05-09","4026","4068","87","12","15"
"","RamushHaradinajOfficial","2017-05-09","0","0","0","0","0"
"","albini2017","2017-05-09","0","0","0","0","0"
"","avdullah.hoti","2017-05-09","0","0","0","0","0"
"","IsaMustafaKS","2017-05-09","0","0","0","0","0"
"","HashimThaciOfficial","2017-05-09","0","0","0","0","0"
"","DardanMolliqaj8","2017-05-09","0","0","0","0","0"
"","avdullah.hoti","2017-05-08","1932","1944","75","105","6"
"","behgjeti","2017-05-08","16540","16654","276","144","3"
"","IsaMustafaKS","2017-05-08","7419","7539","708","228","9"
"","kadriveseliofficial","2017-05-08","12379","12517","975","255","3"
"","mimozakusari","2017-05-08","1726","1729","57","9","3"
"","RamushHaradinajOfficial","2017-05-08","18234","18429","333","861","3"
"","albini2017","2017-05-08","0","0","0","0","0"
"","fatmirlimaj","2017-05-08","0","0","0","0","0"
"","HashimThaciOfficial","2017-05-08","0","0","0","0","0"
"","DardanMolliqaj8","2017-05-08","0","0","0","0","0"
"","avdullah.hoti","2017-05-07","5232","5250","153","80","12"
"","behgjeti","2017-05-07","11192","11351","330","150","6"
"","HashimThaciOfficial","2017-05-07","4150","4184","72","8","2"
"","IsaMustafaKS","2017-05-07","6153","6201","285","96","6"
"","kadriveseliofficial","2017-05-07","9396","9504","321","96","3"
"","mimozakusari","2017-05-07","1368","1527","168","21","3"
"","RamushHaradinajOfficial","2017-05-07","0","0","0","0","0"
"","albini2017","2017-05-07","0","0","0","0","0"
"","fatmirlimaj","2017-05-07","0","0","0","0","0"
"","DardanMolliqaj8","2017-05-07","0","0","0","0","0"
"","avdullah.hoti","2017-05-06","5229","5286","189","105","9"
"","fatmirlimaj","2017-05-06","1452","1468","66","39","3"
"","IsaMustafaKS","2017-05-06","9921","10173","1326","416","6"
"","kadriveseliofficial","2017-05-06","10590","10671","198","63","3"
"","mimozakusari","2017-05-06","441","441","33","0","3"
"","RamushHaradinajOfficial","2017-05-06","0","0","0","0","0"
"","albini2017","2017-05-06","0","0","0","0","0"
"","behgjeti","2017-05-06","0","0","0","0","0"
"","HashimThaciOfficial","2017-05-06","0","0","0","0","0"
"","DardanMolliqaj8","2017-05-06","0","0","0","0","0"
"","DardanMolliqaj8","2017-06-05","4386","4702","1759","157","3"
"","RamushHaradinajOfficial","2017-06-05","0","0","0","0","0"
"","albini2017","2017-06-05","0","0","0","0","0"
"","avdullah.hoti","2017-06-05","0","0","0","0","0"
"","kadriveseliofficial","2017-06-05","0","0","0","0","0"
"","fatmirlimaj","2017-06-05","0","0","0","0","0"
"","behgjeti","2017-06-05","0","0","0","0","0"
"","IsaMustafaKS","2017-06-05","0","0","0","0","0"
"","mimozakusari","2017-06-05","0","0","0","0","0"
"","HashimThaciOfficial","2017-06-05","0","0","0","0","0"
"","DardanMolliqaj8","2017-06-04","13387","13729","1162","2314","2"
